Ninputpackets_10.239.51.1,Noutputpackets_10.239.51.1,inputbytes_10.239.51.1,outputbytes_10.239.51.1,inputuniqueIPs_10.239.51.1,outputuniqueIPs_10.239.51.1,Time
13,16,7330,10345,12,13,Monday June 28 2021 05:53:16
10,15,4298,5267,10,12,Monday June 28 2021 05:56:16
12,10,7802,2223,10,7,Monday June 28 2021 05:59:16
11,12,2801,2074,10,11,Monday June 28 2021 06:02:16
12,9,7411,7711,12,9,Monday June 28 2021 06:05:16
8,12,981,2890,8,11,Monday June 28 2021 06:08:16
14,13,7093,6654,14,11,Monday June 28 2021 06:11:16
9,15,4812,8253,7,12,Monday June 28 2021 06:14:16
13,12,4585,11972,12,10,Monday June 28 2021 06:17:16
10,15,4872,5766,10,13,Monday June 28 2021 06:20:16
12,15,7280,5028,11,13,Monday June 28 2021 06:23:16
10,11,2777,2173,10,11,Monday June 28 2021 06:26:16
11,11,7051,1625,11,11,Monday June 28 2021 06:29:16
11,14,3974,9464,11,12,Monday June 28 2021 06:32:16
9,5,2433,657,8,5,Monday June 28 2021 06:35:16
9,11,3485,2764,8,10,Monday June 28 2021 06:38:16
10,12,2170,4444,9,10,Monday June 28 2021 06:41:16
17,11,4597,7054,17,11,Monday June 28 2021 06:44:16
15,12,3908,1947,14,12,Monday June 28 2021 06:47:16
3,13,2982,8467,3,12,Monday June 28 2021 06:50:16
8,9,3928,1578,7,8,Monday June 28 2021 06:53:16
9,10,1996,529,8,9,Monday June 28 2021 06:56:16
8,13,5794,1995,6,10,Monday June 28 2021 06:59:16
9,13,6615,14374,8,11,Monday June 28 2021 07:02:16
10,11,8680,5112,9,11,Monday June 28 2021 07:05:16
8,19,6652,3501,7,17,Monday June 28 2021 07:08:16
7,8,3389,5098,5,8,Monday June 28 2021 07:11:16
14,19,7413,2712,13,15,Monday June 28 2021 07:14:16
8,4,2812,937,8,4,Monday June 28 2021 07:17:16
8,3,3830,638,8,3,Monday June 28 2021 07:20:16
10,8,3847,2023,10,8,Monday June 28 2021 07:23:16
14,12,3461,4947,14,11,Monday June 28 2021 07:26:16
13,14,9050,9817,10,14,Monday June 28 2021 07:29:16
13,10,3134,1534,11,9,Monday June 28 2021 07:32:16
9,11,6260,6044,9,10,Monday June 28 2021 07:35:16
12,11,2395,7313,12,11,Monday June 28 2021 07:38:16
5,11,3588,8913,5,9,Monday June 28 2021 07:41:16
10,9,2419,5133,10,9,Monday June 28 2021 07:44:16
4,6,3184,3044,4,6,Monday June 28 2021 07:47:16
0,1,0,502,0,1,Monday June 28 2021 07:50:16
