Ninputpackets_10.239.51.1,Noutputpackets_10.239.51.1,inputbytes_10.239.51.1,outputbytes_10.239.51.1,inputuniqueIPs_10.239.51.1,outputuniqueIPs_10.239.51.1,Time
21173,19695,10086728,10024053,103,136,Monday June 28 2021 06:53:17
14738,13494,7071055,7074534,88,89,Monday June 28 2021 06:56:17
13416,12258,6415495,6442443,94,94,Monday June 28 2021 06:59:17
12201,11135,5811424,5854564,84,87,Monday June 28 2021 07:02:17
11350,10232,5374500,5396681,88,92,Monday June 28 2021 07:05:17
11205,11341,5305625,5301421,90,95,Monday June 28 2021 07:08:17
11248,12044,5301371,5310208,88,94,Monday June 28 2021 07:11:17
10005,10991,4671458,4728691,88,96,Monday June 28 2021 07:14:17
11037,12024,5178561,5235711,88,96,Monday June 28 2021 07:17:17
10128,11213,4744997,4796017,89,96,Monday June 28 2021 07:20:17
9603,10706,4502981,4458743,90,96,Monday June 28 2021 07:23:17
9712,10793,4518165,4520223,88,96,Monday June 28 2021 07:26:17
9661,10906,4521986,4541499,90,96,Monday June 28 2021 07:29:17
9855,10891,4591224,4582468,88,96,Monday June 28 2021 07:32:17
9536,10685,4466159,4477168,89,96,Monday June 28 2021 07:35:17
8956,10180,4189298,4170972,90,96,Monday June 28 2021 07:38:17
9286,10434,4294187,4344085,91,96,Monday June 28 2021 07:41:17
9357,10560,4365525,4386080,89,96,Monday June 28 2021 07:44:17
8696,10017,4047151,4058439,92,96,Monday June 28 2021 07:47:17
9394,10634,4414192,4390638,93,96,Monday June 28 2021 07:50:17
9273,10409,4287347,4321386,91,96,Monday June 28 2021 07:53:17
8743,10041,4044763,4087790,89,96,Monday June 28 2021 07:56:17
8945,10199,4158190,4206720,93,96,Monday June 28 2021 07:59:17
8723,9951,4039222,4072996,93,96,Monday June 28 2021 08:02:17
8504,9767,3931145,3982812,90,96,Monday June 28 2021 08:05:17
8674,9895,3987527,4021837,91,96,Monday June 28 2021 08:08:17
8455,9727,3873213,3981370,92,96,Monday June 28 2021 08:11:17
8466,9694,3876629,3954246,87,96,Monday June 28 2021 08:14:17
8400,9616,3858239,3877377,91,96,Monday June 28 2021 08:17:17
8373,9609,3865932,3884986,91,96,Monday June 28 2021 08:20:17
8065,9351,3697004,3788014,93,95,Monday June 28 2021 08:23:17
8563,9862,3958340,4029786,92,96,Monday June 28 2021 08:26:17
7941,9272,3638248,3698517,91,95,Monday June 28 2021 08:29:17
8075,9406,3689809,3772035,92,95,Monday June 28 2021 08:32:17
8095,9456,3764717,3727832,88,96,Monday June 28 2021 08:35:17
7399,8974,3399142,3582218,93,96,Monday June 28 2021 08:38:17
7162,8789,3230667,3561292,90,96,Monday June 28 2021 08:41:17
7642,9310,3491962,3907609,92,96,Monday June 28 2021 08:44:17
3989,6184,1621081,2004488,96,96,Monday June 28 2021 08:47:17
0,1831,0,131694,0,80,Monday June 28 2021 08:50:17
0,1780,0,103785,0,79,Monday June 28 2021 08:53:17
0,1702,0,100018,0,78,Monday June 28 2021 08:56:17
0,1577,0,92219,0,78,Monday June 28 2021 08:59:17
0,1043,0,59838,0,74,Monday June 28 2021 09:02:17
