Ninputpackets_10.239.51.1,Noutputpackets_10.239.51.1,inputbytes_10.239.51.1,outputbytes_10.239.51.1,inputuniqueIPs_10.239.51.1,outputuniqueIPs_10.239.51.1,Time
16614,15349,8123079,8056482,84,84,Monday June 28 2021 05:53:10
14065,12914,6876624,6854799,94,94,Monday June 28 2021 05:56:10
12644,11575,6196900,6198728,90,90,Monday June 28 2021 05:59:10
11726,10620,5718233,5735623,88,89,Monday June 28 2021 06:02:10
11601,10408,5639655,5652087,93,93,Monday June 28 2021 06:05:10
11086,10770,5439718,5434916,88,93,Monday June 28 2021 06:08:10
10928,11032,5299724,5346404,91,95,Monday June 28 2021 06:11:10
11091,11504,5417885,5408840,92,96,Monday June 28 2021 06:14:10
10662,11271,5193693,5214800,94,95,Monday June 28 2021 06:17:10
10647,11277,5170273,5209200,87,96,Monday June 28 2021 06:20:10
10285,10971,5013840,5026975,93,96,Monday June 28 2021 06:23:10
10248,10980,4958858,5012328,90,96,Monday June 28 2021 06:26:10
9822,10666,4771006,4823327,93,96,Monday June 28 2021 06:29:10
9526,10331,4600635,4673979,89,95,Monday June 28 2021 06:32:10
9783,10675,4781926,4728701,92,96,Monday June 28 2021 06:35:10
9733,10583,4721624,4730165,92,95,Monday June 28 2021 06:38:10
9651,10513,4696831,4697134,88,96,Monday June 28 2021 06:41:10
9679,10469,4692912,4696269,88,96,Monday June 28 2021 06:44:10
9468,10286,4577737,4589606,85,95,Monday June 28 2021 06:47:10
9288,10212,4537942,4486514,89,96,Monday June 28 2021 06:50:10
30159,29731,14434325,14428827,172,182,Monday June 28 2021 06:53:10
24564,24317,11882508,11857717,175,183,Monday June 28 2021 06:56:10
22576,22784,10851470,11057186,184,190,Monday June 28 2021 06:59:10
21429,21933,10283991,10545801,178,185,Monday June 28 2021 07:02:10
20760,21400,9964484,10266775,177,187,Monday June 28 2021 07:05:10
20416,22364,9790269,10196384,179,191,Monday June 28 2021 07:08:10
20142,23006,9669254,10083074,179,190,Monday June 28 2021 07:11:10
18924,22049,9042007,9599562,179,192,Monday June 28 2021 07:14:10
20007,23086,9586729,10183250,178,192,Monday June 28 2021 07:17:10
19129,22085,9181769,9822265,181,192,Monday June 28 2021 07:20:10
18027,21204,8645604,9386842,180,192,Monday June 28 2021 07:23:10
18504,21490,8816936,9574358,180,192,Monday June 28 2021 07:26:10
18505,21750,8909357,9801116,180,192,Monday June 28 2021 07:29:10
18164,21223,8685778,9575949,177,192,Monday June 28 2021 07:32:10
18376,21575,8839613,9776661,177,192,Monday June 28 2021 07:35:10
17167,20480,8300344,9456219,182,192,Monday June 28 2021 07:38:10
17351,20718,8342885,9613935,182,192,Monday June 28 2021 07:41:10
17082,20655,8278777,9856191,179,192,Monday June 28 2021 07:44:10
12271,16094,5750961,7293815,187,192,Monday June 28 2021 07:47:10
9265,11240,4334935,4720812,94,176,Monday June 28 2021 07:50:10
31972,31774,15257435,15239069,175,180,Monday June 28 2021 07:53:10
24892,25047,11901132,11968174,183,187,Monday June 28 2021 07:56:10
23635,23734,11293293,11364008,181,186,Monday June 28 2021 07:59:10
22068,22174,10517950,10579824,186,189,Monday June 28 2021 08:02:10
21042,21223,10034783,10104775,176,185,Monday June 28 2021 08:05:10
21643,23170,10305917,10320508,180,192,Monday June 28 2021 08:08:10
20996,23177,9966672,10070826,182,192,Monday June 28 2021 08:11:10
20431,22648,9706423,9741156,173,192,Monday June 28 2021 08:14:10
20221,22511,9638610,9631877,183,192,Monday June 28 2021 08:17:10
19725,21932,9363234,9399486,182,191,Monday June 28 2021 08:20:10
19274,21638,9159942,9257058,185,192,Monday June 28 2021 08:23:10
19934,22258,9487607,9571720,183,192,Monday June 28 2021 08:26:10
19041,21411,9020447,9111126,183,190,Monday June 28 2021 08:29:10
18608,20988,8830906,8918513,178,191,Monday June 28 2021 08:32:10
18662,21169,8920035,8872050,181,192,Monday June 28 2021 08:35:10
18144,20812,8625858,8798042,181,192,Monday June 28 2021 08:38:10
17858,20528,8434198,8794767,181,192,Monday June 28 2021 08:41:10
18319,21008,8671428,9058307,184,192,Monday June 28 2021 08:44:10
14982,18219,6940657,7350347,187,192,Monday June 28 2021 08:47:10
10429,13275,5076976,5190480,92,176,Monday June 28 2021 08:50:10
10420,13192,5058133,5159748,89,174,Monday June 28 2021 08:53:10
10505,13300,5090548,5194342,91,174,Monday June 28 2021 08:56:10
10095,12778,4909243,4999495,92,175,Monday June 28 2021 08:59:10
9836,12040,4791030,4870067,92,171,Monday June 28 2021 09:02:10
9999,11062,4839313,4861353,89,96,Monday June 28 2021 09:05:10
9670,10800,4721212,4660852,93,96,Monday June 28 2021 09:08:10
10316,11383,5019226,5004471,88,96,Monday June 28 2021 09:11:10
9850,10921,4769303,4808836,90,96,Monday June 28 2021 09:14:10
9856,11035,4834370,4788086,92,96,Monday June 28 2021 09:17:10
9957,11088,4840090,4875860,90,96,Monday June 28 2021 09:20:10
9871,10959,4834721,4783058,93,96,Monday June 28 2021 09:23:10
10015,11002,4858469,4880519,90,96,Monday June 28 2021 09:26:10
10292,11444,5003409,5020795,93,96,Monday June 28 2021 09:29:10
9929,10979,4833370,4794204,91,96,Monday June 28 2021 09:32:10
9852,10926,4842803,4779867,90,95,Monday June 28 2021 09:35:10
8954,10274,4351312,4384852,88,96,Monday June 28 2021 09:38:10
9199,10554,4466106,4549575,94,96,Monday June 28 2021 09:41:10
8844,10116,4221703,4321104,95,96,Monday June 28 2021 09:44:10
4526,6093,1863236,2082842,96,96,Monday June 28 2021 09:47:10
