Ninputpackets_10.239.51.1,Noutputpackets_10.239.51.1,inputbytes_10.239.51.1,outputbytes_10.239.51.1,inputuniqueIPs_10.239.51.1,outputuniqueIPs_10.239.51.1,Time
11,25,3000,10848,10,19,Monday June 28 2021 05:53:22
9,12,3331,2168,8,10,Monday June 28 2021 05:56:22
13,9,4188,4296,12,9,Monday June 28 2021 05:59:22
15,12,10764,7573,12,11,Monday June 28 2021 06:02:22
8,10,3188,6027,6,10,Monday June 28 2021 06:05:22
13,10,10797,3429,10,6,Monday June 28 2021 06:08:22
16,14,8387,3513,16,11,Monday June 28 2021 06:11:22
6,15,3292,6923,6,13,Monday June 28 2021 06:14:22
15,8,4526,8112,14,7,Monday June 28 2021 06:17:22
9,17,2339,4624,9,14,Monday June 28 2021 06:20:22
11,11,4438,5925,11,11,Monday June 28 2021 06:23:22
13,13,7421,1329,11,13,Monday June 28 2021 06:26:22
10,12,5195,11040,10,10,Monday June 28 2021 06:29:22
7,10,1892,1921,7,8,Monday June 28 2021 06:32:22
9,9,6221,3897,9,9,Monday June 28 2021 06:35:22
15,8,4646,1095,14,7,Monday June 28 2021 06:38:22
8,11,2765,10935,8,10,Monday June 28 2021 06:41:22
8,19,5206,1544,8,16,Monday June 28 2021 06:44:22
6,8,5100,1011,6,8,Monday June 28 2021 06:47:22
9,15,7646,1845,8,11,Monday June 28 2021 06:50:22
26,27,10418,23903,19,20,Monday June 28 2021 06:53:22
23,18,10893,8537,21,17,Monday June 28 2021 06:56:22
13,23,5845,8020,13,19,Monday June 28 2021 06:59:22
18,20,4980,7076,15,19,Monday June 28 2021 07:02:22
26,15,18742,6984,23,14,Monday June 28 2021 07:05:22
25,18,10683,14238,21,16,Monday June 28 2021 07:08:22
15,27,11297,16136,12,23,Monday June 28 2021 07:11:22
20,29,11182,12125,17,26,Monday June 28 2021 07:14:22
16,26,5442,17001,14,22,Monday June 28 2021 07:17:22
20,32,10020,15239,17,30,Monday June 28 2021 07:20:22
16,25,8611,5073,16,20,Monday June 28 2021 07:23:22
20,27,8074,17081,17,24,Monday June 28 2021 07:26:22
25,21,15936,5084,24,18,Monday June 28 2021 07:29:22
24,24,17417,8738,22,21,Monday June 28 2021 07:32:22
14,17,736,12735,13,17,Monday June 28 2021 07:35:22
14,23,6507,10271,12,21,Monday June 28 2021 07:38:22
20,13,8150,3016,19,12,Monday June 28 2021 07:41:22
17,24,10737,9663,15,20,Monday June 28 2021 07:44:22
17,19,8481,7662,16,16,Monday June 28 2021 07:47:22
11,15,4193,3968,10,14,Monday June 28 2021 07:50:22
24,21,10426,3130,21,16,Monday June 28 2021 07:53:22
29,25,12778,15582,26,21,Monday June 28 2021 07:56:22
32,25,11379,16987,29,21,Monday June 28 2021 07:59:22
27,29,9676,9297,24,21,Monday June 28 2021 08:02:22
19,22,13825,7190,17,18,Monday June 28 2021 08:05:22
18,23,9295,10936,14,21,Monday June 28 2021 08:08:22
16,30,10446,15186,14,24,Monday June 28 2021 08:11:22
17,30,10999,13597,14,24,Monday June 28 2021 08:14:22
16,36,8147,8010,15,26,Monday June 28 2021 08:17:22
26,27,17366,2889,21,22,Monday June 28 2021 08:20:22
20,25,10689,10218,20,22,Monday June 28 2021 08:23:22
20,15,9864,9623,20,15,Monday June 28 2021 08:26:22
24,26,13821,10359,18,25,Monday June 28 2021 08:29:22
17,23,7126,5154,16,20,Monday June 28 2021 08:32:22
23,21,13274,9536,21,19,Monday June 28 2021 08:35:22
17,15,9429,7982,17,13,Monday June 28 2021 08:38:22
24,20,11133,7876,20,19,Monday June 28 2021 08:41:22
12,11,5704,3006,11,11,Monday June 28 2021 08:44:22
12,18,4747,9778,11,14,Monday June 28 2021 08:47:22
14,14,8510,1953,10,12,Monday June 28 2021 08:50:22
7,16,2563,10041,7,15,Monday June 28 2021 08:53:22
10,12,7264,2374,10,12,Monday June 28 2021 08:56:22
12,13,4193,6083,11,12,Monday June 28 2021 08:59:22
15,8,7784,823,13,7,Monday June 28 2021 09:02:22
13,7,9290,698,11,7,Monday June 28 2021 09:05:22
13,11,8200,3065,12,10,Monday June 28 2021 09:08:22
9,9,7332,2754,9,8,Monday June 28 2021 09:11:22
11,10,4602,4995,11,10,Monday June 28 2021 09:14:22
14,18,12004,13774,12,16,Monday June 28 2021 09:17:22
9,14,4675,13125,8,13,Monday June 28 2021 09:20:22
10,7,5562,4473,9,7,Monday June 28 2021 09:23:22
9,9,6260,3427,8,7,Monday June 28 2021 09:26:22
2,14,1737,5506,2,10,Monday June 28 2021 09:29:22
10,9,4301,3910,10,9,Monday June 28 2021 09:32:22
14,12,8429,12017,12,10,Monday June 28 2021 09:35:22
12,14,3145,3044,12,11,Monday June 28 2021 09:38:22
12,21,6396,1549,11,17,Monday June 28 2021 09:41:22
7,12,4824,664,6,10,Monday June 28 2021 09:44:22
0,8,0,1405,0,8,Monday June 28 2021 09:47:22
