Ninputpackets_10.239.51.1,Noutputpackets_10.239.51.1,inputbytes_10.239.51.1,outputbytes_10.239.51.1,inputuniqueIPs_10.239.51.1,outputuniqueIPs_10.239.51.1,Time
8494,9750,2506500,2554578,84,84,Saturday May 08 2021 09:25:36
7325,8364,2144167,2226253,93,93,Saturday May 08 2021 09:28:36
6466,7262,1871309,1954744,89,89,Saturday May 08 2021 09:31:36
6194,6882,1790464,1876478,91,91,Saturday May 08 2021 09:34:36
5672,6255,1624841,1714861,86,86,Saturday May 08 2021 09:37:36
5673,6842,1620114,1743773,90,94,Saturday May 08 2021 09:40:36
5435,7123,1530122,1675606,92,96,Saturday May 08 2021 09:43:36
5655,7646,1604167,1762984,91,96,Saturday May 08 2021 09:46:36
5548,7634,1556057,1747783,90,96,Saturday May 08 2021 09:49:36
5232,7355,1470372,1637084,91,95,Saturday May 08 2021 09:52:36
5419,7615,1521700,1710408,88,96,Saturday May 08 2021 09:55:36
5094,7187,1407343,1579492,88,95,Saturday May 08 2021 09:58:36
5193,7350,1452392,1636175,88,96,Saturday May 08 2021 10:01:36
5103,7360,1418470,1616275,92,95,Saturday May 08 2021 10:04:36
4956,7146,1367808,1556106,92,96,Saturday May 08 2021 10:07:36
5054,7290,1402863,1592918,95,96,Saturday May 08 2021 10:10:36
4862,7155,1344493,1541681,89,96,Saturday May 08 2021 10:13:36
4781,7054,1314920,1531775,87,96,Saturday May 08 2021 10:16:36
4892,7047,1355818,1538843,90,96,Saturday May 08 2021 10:19:36
4635,6872,1269200,1476640,92,96,Saturday May 08 2021 10:22:36
5003,7202,1328393,1550024,95,96,Saturday May 08 2021 10:25:36
5066,7340,1333526,1562714,96,96,Saturday May 08 2021 10:28:36
4940,7129,1298526,1573000,96,96,Saturday May 08 2021 10:31:36
4768,7271,1262102,1651187,96,96,Saturday May 08 2021 10:34:36
4656,7361,1236755,1748400,95,96,Saturday May 08 2021 10:37:36
4686,7403,1241418,1767615,94,96,Saturday May 08 2021 10:40:36
4773,7529,1283405,1878263,96,96,Saturday May 08 2021 10:43:36
4699,7572,1250443,1900384,96,96,Saturday May 08 2021 10:46:36
4451,7381,1197870,2001229,96,96,Saturday May 08 2021 10:49:36
4618,7551,1232037,2047235,96,96,Saturday May 08 2021 10:52:36
4684,7656,1261363,2133500,96,96,Saturday May 08 2021 10:55:36
4437,7233,1180574,2029065,96,96,Saturday May 08 2021 10:58:36
4756,7733,1278951,2167276,96,96,Saturday May 08 2021 11:01:36
4371,7034,1164406,2107604,96,96,Saturday May 08 2021 11:04:36
4595,7199,1230178,2174578,95,96,Saturday May 08 2021 11:07:36
4386,7078,1177887,2215924,94,96,Saturday May 08 2021 11:10:36
4291,7067,1150616,2293207,96,96,Saturday May 08 2021 11:13:36
4080,6974,1090141,2440842,96,96,Saturday May 08 2021 11:16:36
1887,3927,495478,1404989,91,96,Saturday May 08 2021 11:19:36
