Ninputpackets_10.239.51.1,Noutputpackets_10.239.51.1,inputbytes_10.239.51.1,outputbytes_10.239.51.1,inputuniqueIPs_10.239.51.1,outputuniqueIPs_10.239.51.1,Time
24,20,4655,5252,21,15,Saturday May 08 2021 09:25:37
16,13,7399,3685,13,10,Saturday May 08 2021 09:28:37
11,12,3115,7757,10,11,Saturday May 08 2021 09:31:37
14,12,2718,4904,13,12,Saturday May 08 2021 09:34:37
6,13,1122,3811,6,11,Saturday May 08 2021 09:37:37
10,13,3481,702,10,11,Saturday May 08 2021 09:40:37
16,19,6516,3007,14,14,Saturday May 08 2021 09:43:37
13,6,5901,3074,12,5,Saturday May 08 2021 09:46:37
15,13,7137,5775,12,12,Saturday May 08 2021 09:49:37
10,15,709,4379,8,14,Saturday May 08 2021 09:52:37
9,17,1392,2943,8,13,Saturday May 08 2021 09:55:37
3,10,156,3592,3,10,Saturday May 08 2021 09:58:37
8,18,416,7746,8,16,Saturday May 08 2021 10:01:37
11,13,3515,2255,11,10,Saturday May 08 2021 10:04:37
11,11,3372,939,9,11,Saturday May 08 2021 10:07:37
16,16,4023,2703,15,12,Saturday May 08 2021 10:10:37
12,15,2891,1517,11,12,Saturday May 08 2021 10:13:37
6,14,740,4786,6,12,Saturday May 08 2021 10:16:37
7,12,2706,2639,7,11,Saturday May 08 2021 10:19:37
7,22,2618,4049,7,18,Saturday May 08 2021 10:22:37
15,23,2705,7243,15,18,Saturday May 08 2021 10:25:37
10,20,5297,9145,10,16,Saturday May 08 2021 10:28:37
22,15,8500,5103,17,14,Saturday May 08 2021 10:31:37
24,18,8825,5125,21,15,Saturday May 08 2021 10:34:37
12,19,1954,6801,11,17,Saturday May 08 2021 10:37:37
15,19,5999,7791,14,18,Saturday May 08 2021 10:40:37
12,28,4303,12607,11,23,Saturday May 08 2021 10:43:37
14,23,1956,5335,13,19,Saturday May 08 2021 10:46:37
14,31,4076,8550,12,27,Saturday May 08 2021 10:49:37
14,25,3515,3895,13,22,Saturday May 08 2021 10:52:37
14,23,3095,9443,13,19,Saturday May 08 2021 10:55:37
24,30,7625,7454,20,27,Saturday May 08 2021 10:58:37
15,29,4687,12101,13,22,Saturday May 08 2021 11:01:37
14,31,5306,11915,13,26,Saturday May 08 2021 11:04:37
16,18,6793,7502,12,17,Saturday May 08 2021 11:07:37
10,21,1412,12820,9,20,Saturday May 08 2021 11:10:37
20,23,10617,7756,17,18,Saturday May 08 2021 11:13:37
14,20,1287,4067,13,19,Saturday May 08 2021 11:16:37
4,19,1656,7656,4,16,Saturday May 08 2021 11:19:37
0,1,0,546,0,1,Saturday May 08 2021 11:22:37
