Ninputpackets_10.239.51.1,Noutputpackets_10.239.51.1,inputbytes_10.239.51.1,outputbytes_10.239.51.1,inputuniqueIPs_10.239.51.1,outputuniqueIPs_10.239.51.1,Time
43996,48712,13491866,13924443,275,275,Saturday May 08 2021 09:25:36
31757,34318,9547307,10057448,283,283,Saturday May 08 2021 09:28:36
28442,30219,8471399,8981396,279,279,Saturday May 08 2021 09:31:36
27750,29329,8260522,8778853,283,283,Saturday May 08 2021 09:34:36
25650,26798,7569326,8077791,277,277,Saturday May 08 2021 09:37:36
25729,33492,7480960,8289918,282,286,Saturday May 08 2021 09:40:36
25501,35740,7359794,8285508,282,288,Saturday May 08 2021 09:43:36
25325,36037,7348999,8287263,282,288,Saturday May 08 2021 09:46:36
24840,35728,7151659,8165730,282,288,Saturday May 08 2021 09:49:36
24491,35525,7051009,8040018,282,287,Saturday May 08 2021 09:52:36
24217,35325,6932776,7918787,277,288,Saturday May 08 2021 09:55:36
23711,34448,6777181,7728795,278,287,Saturday May 08 2021 09:58:36
23497,34357,6713090,7674542,278,288,Saturday May 08 2021 10:01:36
23065,34064,6564171,7569754,283,287,Saturday May 08 2021 10:04:36
22655,33355,6435117,7405224,284,288,Saturday May 08 2021 10:07:36
22886,33817,6526238,7473791,286,288,Saturday May 08 2021 10:10:36
22420,33328,6357563,7334518,280,288,Saturday May 08 2021 10:13:36
22154,33015,6275943,7251354,279,288,Saturday May 08 2021 10:16:36
22538,33367,6419925,7357142,281,288,Saturday May 08 2021 10:19:36
22453,33347,6372708,7356034,283,288,Saturday May 08 2021 10:22:36
49234,59351,12791113,14609093,287,288,Saturday May 08 2021 10:25:36
50719,61127,13036447,16113901,288,288,Saturday May 08 2021 10:28:36
50000,58458,12775203,15635197,288,288,Saturday May 08 2021 10:31:36
50201,58103,12821132,15664615,288,288,Saturday May 08 2021 10:34:36
49658,57278,12605594,15640075,287,288,Saturday May 08 2021 10:37:36
50043,63505,12604485,16352210,286,288,Saturday May 08 2021 10:40:36
50572,64455,12778850,16408327,288,288,Saturday May 08 2021 10:43:36
50207,64370,12656826,16374100,288,288,Saturday May 08 2021 10:46:36
49767,66755,12575415,17286371,288,288,Saturday May 08 2021 10:49:36
48745,68713,12321804,18146627,288,288,Saturday May 08 2021 10:52:36
48778,69653,12326680,18930900,288,288,Saturday May 08 2021 10:55:36
47639,72081,11994165,19960629,288,288,Saturday May 08 2021 10:58:36
47616,75247,12132645,21441056,288,288,Saturday May 08 2021 11:01:36
47121,75126,12023804,21839474,288,288,Saturday May 08 2021 11:04:36
47708,76653,12219696,23025252,287,288,Saturday May 08 2021 11:07:36
46942,75976,11989588,23663050,286,288,Saturday May 08 2021 11:10:36
46566,75119,11919837,24518007,288,288,Saturday May 08 2021 11:13:36
45622,73858,11762627,26752483,288,288,Saturday May 08 2021 11:16:36
22384,46345,5878751,19059345,283,288,Saturday May 08 2021 11:19:36
0,3700,0,1494707,0,159,Saturday May 08 2021 11:22:36
