Ninputpackets_10.239.51.1,Noutputpackets_10.239.51.1,inputbytes_10.239.51.1,outputbytes_10.239.51.1,inputuniqueIPs_10.239.51.1,outputuniqueIPs_10.239.51.1,Time
44,42,13302,8465,39,35,Saturday May 08 2021 09:25:36
33,30,7890,4017,31,27,Saturday May 08 2021 09:28:36
29,34,9719,14085,26,28,Saturday May 08 2021 09:31:36
20,33,7720,9685,18,31,Saturday May 08 2021 09:34:36
23,28,9251,7064,20,25,Saturday May 08 2021 09:37:36
26,37,9638,11168,25,32,Saturday May 08 2021 09:40:36
26,50,8451,13622,22,45,Saturday May 08 2021 09:43:36
13,30,7712,6805,12,30,Saturday May 08 2021 09:46:36
30,40,8539,7169,27,38,Saturday May 08 2021 09:49:36
25,37,8541,9657,22,34,Saturday May 08 2021 09:52:36
17,36,6275,12031,16,31,Saturday May 08 2021 09:55:36
20,28,4024,5538,19,28,Saturday May 08 2021 09:58:36
25,29,5860,3175,25,27,Saturday May 08 2021 10:01:36
15,35,3997,8064,15,33,Saturday May 08 2021 10:04:36
25,33,6372,3724,23,32,Saturday May 08 2021 10:07:36
28,30,6149,6638,27,27,Saturday May 08 2021 10:10:36
17,33,2938,7732,17,31,Saturday May 08 2021 10:13:36
29,33,4323,5768,28,33,Saturday May 08 2021 10:16:36
22,43,7057,5175,20,34,Saturday May 08 2021 10:19:36
23,24,7592,2514,20,24,Saturday May 08 2021 10:22:36
48,57,11838,10918,40,42,Saturday May 08 2021 10:25:36
53,54,13424,16192,48,46,Saturday May 08 2021 10:28:36
53,76,11162,16209,44,63,Saturday May 08 2021 10:31:36
42,55,8767,16617,37,47,Saturday May 08 2021 10:34:36
38,55,5241,12651,35,49,Saturday May 08 2021 10:37:36
42,65,13542,25901,34,54,Saturday May 08 2021 10:40:36
71,59,17268,12278,60,50,Saturday May 08 2021 10:43:36
42,65,10027,15753,36,54,Saturday May 08 2021 10:46:36
55,66,12034,15896,47,57,Saturday May 08 2021 10:49:36
47,85,8960,23446,43,71,Saturday May 08 2021 10:52:36
45,64,8281,17880,39,58,Saturday May 08 2021 10:55:36
48,71,13956,19592,41,59,Saturday May 08 2021 10:58:36
53,67,15486,21233,44,60,Saturday May 08 2021 11:01:36
58,66,18951,21407,48,56,Saturday May 08 2021 11:04:36
30,73,9356,19033,26,63,Saturday May 08 2021 11:07:36
50,64,8615,18250,40,56,Saturday May 08 2021 11:10:36
48,87,12439,27453,41,64,Saturday May 08 2021 11:13:36
56,76,10756,21843,49,60,Saturday May 08 2021 11:16:36
27,45,9441,19874,22,39,Saturday May 08 2021 11:19:36
0,3,0,1462,0,3,Saturday May 08 2021 11:22:36
