Ninputpackets_192.168.10.3,Ninputpackets_192.168.10.50,Ninputpackets_192.168.10.51,Ninputpackets_192.168.10.19,Ninputpackets_192.168.10.9,Ninputpackets_192.168.10.25,Noutputpackets_192.168.10.3,Noutputpackets_192.168.10.50,Noutputpackets_192.168.10.51,Noutputpackets_192.168.10.19,Noutputpackets_192.168.10.9,Noutputpackets_192.168.10.25,inputbytes_192.168.10.3,inputbytes_192.168.10.50,inputbytes_192.168.10.51,inputbytes_192.168.10.19,inputbytes_192.168.10.9,inputbytes_192.168.10.25,outputbytes_192.168.10.3,outputbytes_192.168.10.50,outputbytes_192.168.10.51,outputbytes_192.168.10.19,outputbytes_192.168.10.9,outputbytes_192.168.10.25,inputuniqueIPs_192.168.10.3,inputuniqueIPs_192.168.10.50,inputuniqueIPs_192.168.10.51,inputuniqueIPs_192.168.10.19,inputuniqueIPs_192.168.10.9,inputuniqueIPs_192.168.10.25,outputuniqueIPs_192.168.10.3,outputuniqueIPs_192.168.10.50,outputuniqueIPs_192.168.10.51,outputuniqueIPs_192.168.10.19,outputuniqueIPs_192.168.10.9,outputuniqueIPs_192.168.10.25,Time
4562,590,47,0,4220,1447,3941,685,410,0,3964,2730,957932,130172,5305,0,6893186,1273739,1178426,114947,54822,0,471414,390590,9,4,1,0,19,21,9,4,1,0,22,23,Friday July 07 2017 01:59:50
5149,611,24,0,961,113,4713,724,36,0,950,216,813473,112576,2302,0,587490,34590,899924,136277,2328,0,217395,30365,13,2,0,0,22,3,13,3,1,0,24,3,Friday July 07 2017 02:04:50
86,212,14,0,487,77,3276,262,14,0,505,160,618054,27104,1362,0,242671,19944,665357,48848,904,0,172100,21540,13,1,0,0,16,2,14,1,0,0,18,3,Friday July 07 2017 02:05:50
3267,576,22,0,97,112,3124,638,35,0,107,207,378091,150922,2068,0,14311,39198,488104,102040,2235,0,35897,28516,13,2,0,0,9,3,14,3,0,0,9,3,Friday July 07 2017 02:08:50
1784,506,356,713,43,1228,1545,697,499,1420,47,1195,244046,91248,45483,156986,6072,1294105,297916,115572,50082,193261,3158,148060,14,1,5,19,3,39,13,3,5,22,3,39,Friday July 07 2017 02:11:50
2780,466,20,55,162,1573,2532,890,20,93,156,1682,304853,89688,1926,4208,32962,2022814,357633,125469,1276,9486,22252,196562,13,0,1,19,3,49,13,2,1,20,3,49,Friday July 07 2017 02:14:50
1028,547,10,61,325,7161,920,598,23,74,261,5150,109072,137404,940,4636,462005,11778461,125552,96558,1491,8055,36932,422187,13,2,0,19,5,52,13,2,1,20,5,52,Friday July 07 2017 02:17:50
1504,1008,10,55,4,3409,1393,904,10,93,7,3834,163096,1586845,1180,4208,237,3240048,201848,97754,746,9486,403,422356,12,5,0,19,1,57,13,5,0,20,2,57,Friday July 07 2017 02:20:50
3996,544,6,2968,54,1832,3890,622,6,2449,54,1772,372025,113374,564,3160439,5412,2222432,513795,110178,372,339263,3528,202747,12,3,0,65,2,39,11,5,0,65,2,44,Friday July 07 2017 02:23:50
1262,512,4,416,3265,182,1137,554,4,544,2593,371,133278,126756,422,47589,3004045,30614,164711,91582,284,100159,308365,47456,12,0,0,48,43,29,11,1,0,50,43,34,Friday July 07 2017 02:26:50
2700,553,22,366,256,942,2606,618,22,414,326,1152,280334,136708,8126,84165,19976,643798,363986,100893,2468,120856,23293,172595,13,0,0,24,33,37,13,0,0,24,33,43,Friday July 07 2017 02:29:50
1842,267,2,2282,3103,170,1725,306,15,1910,2298,239,197311,50802,188,4089318,5429468,111846,250508,51988,995,211685,234724,27489,15,1,0,30,10,7,15,1,1,31,10,7,Friday July 07 2017 02:32:50
3428,488,6,3776,316,67,3137,536,6,3097,351,151,2509011,94788,610,4701676,55524,19632,601998,94214,408,420218,34111,19648,19,2,0,79,13,1,19,3,0,79,13,2,Friday July 07 2017 02:35:50
2419,455,2,485,118,2753,2388,542,2,604,119,2670,242685,102478,188,51294,38200,2940669,330076,95109,124,101858,10317,343519,16,1,0,51,5,24,16,2,0,51,5,24,Friday July 07 2017 02:38:50
3396,486,8,2113,5584,2615,3013,524,8,2167,4486,2254,309618,104338,992,1350653,5634545,3871915,412969,88298,622,281043,549336,246696,12,2,0,60,60,32,12,2,0,62,60,33,Friday July 07 2017 02:41:50
3992,470,8,159,4360,1435,3753,528,8,247,3623,1240,398228,92268,798,10075,5203309,2118169,507591,92390,532,15734,322817,125831,11,3,0,47,51,12,12,3,0,48,51,12,Friday July 07 2017 02:44:50
1124,318,0,121,216,211,942,368,0,145,268,304,125025,82850,0,19578,30410,118763,153091,61292,0,34435,15692,42113,11,1,0,23,24,7,11,2,0,23,22,7,Friday July 07 2017 02:47:50
2327,591,2,1217,45,58,2044,661,2,844,47,103,255382,107452,234,1558232,7064,11353,262057,125243,160,85127,3833,8987,15,3,0,44,2,3,14,5,0,44,2,3,Friday July 07 2017 02:50:50
3606,445,8,2498,803,668,3615,510,8,2498,668,735,396303,64594,656,2231565,725972,642735,553350,96034,760,207588,67833,91560,14,5,0,53,5,21,16,5,0,53,5,22,Friday July 07 2017 02:53:50
4931,662,13,1053,570,1904,4473,713,22,1046,409,1517,502630,160338,1717,839593,692200,2856363,674842,114796,1340,160379,41505,165104,14,2,1,37,2,10,15,2,1,38,2,11,Friday July 07 2017 02:56:50
3759,343,85,378,3621,2197,3470,424,79,440,2689,1885,373547,61842,25835,21387,4564145,3357812,475354,79843,9345,24539,272344,215709,11,3,2,36,30,14,11,3,3,36,30,17,Friday July 07 2017 02:59:50
5458,647,72,137,8998,2336,4947,694,67,150,7571,2169,482861,150514,27492,29055,22453887,3318680,754289,116830,8366,15091,638999,274863,10,1,1,21,45,29,11,1,1,22,46,32,Friday July 07 2017 03:02:50
4369,248,73,3832,3753,5111,4046,286,64,3375,3346,3771,409695,67840,27674,4044795,3352925,9739939,567631,44666,7650,556160,290183,295360,17,1,1,97,56,18,17,2,1,97,56,21,Friday July 07 2017 03:05:50
4318,704,76,1785,3139,21888,4089,766,82,1804,2653,15678,397350,128458,24431,1028971,2575568,43536727,651360,135591,8790,198548,238697,1007751,13,3,1,101,61,40,15,4,1,101,61,42,Friday July 07 2017 03:08:50
1955,482,59,302,290,16142,1652,559,50,337,338,13114,192662,106346,19740,32071,16385,53903078,254716,100681,5568,28158,17733,871542,12,2,1,32,32,38,11,4,1,33,32,39,Friday July 07 2017 03:11:50
3376,430,80,188,8079,20878,3158,481,71,186,6382,17075,341133,70346,28568,36466,8143526,74433399,417447,89342,8200,24620,589841,942058,13,0,1,20,108,20,12,1,1,20,108,21,Friday July 07 2017 03:14:50
2833,548,68,1067,529,22689,2371,596,61,1038,590,18891,250622,136188,23969,779330,69167,78546505,320897,95460,7647,130291,92563,1167983,13,0,1,27,36,43,13,0,1,28,36,43,Friday July 07 2017 03:17:50
7116,664,79,8567,1920,9877,6829,708,69,8395,1905,7656,647974,116124,28238,6801666,536571,12905049,936529,132524,7970,985885,262198,764557,15,0,2,141,42,72,18,0,2,142,42,73,Friday July 07 2017 03:20:50
6002,322,63,4571,4436,15328,5693,372,58,4742,4101,9522,518663,85734,20394,2059529,2704973,25987173,879896,58363,7016,495981,918662,768982,12,0,1,118,85,68,12,0,1,118,85,71,Friday July 07 2017 03:23:50
5881,622,63,3507,15931,1461,5500,701,70,3826,12940,1184,522631,121990,26056,961642,18142078,2105423,749497,126898,8504,406786,1700346,87671,12,2,1,97,228,27,12,2,1,96,232,29,Friday July 07 2017 03:26:50
4770,608,62,6382,4578,68,4592,648,50,6542,4524,146,485088,126422,20414,3090910,1195732,19682,741370,112640,5950,766059,1185576,19334,13,2,1,118,177,2,12,3,1,121,177,4,Friday July 07 2017 03:29:50
6077,191,72,3874,4752,448,5798,231,60,4058,4665,419,530067,49660,27492,1411346,1939924,720957,864781,37870,7386,442765,990886,41844,12,0,1,105,118,6,12,0,1,107,117,6,Friday July 07 2017 03:32:50
3967,825,76,5345,5336,528,3887,926,65,5870,4649,542,357490,131572,28108,1583036,4496052,503427,560593,172849,7812,699101,705351,77981,12,4,1,125,81,5,13,4,1,126,81,5,Friday July 07 2017 03:35:50
3594,686,72,1892,5338,70,3393,764,62,1075,4980,137,386349,158526,27492,2219947,3426787,7328,533724,129944,7646,108563,770710,11360,16,3,1,65,124,5,16,3,1,65,123,6,Friday July 07 2017 03:38:50
1034,695,73,278,1502,76,851,762,65,322,1501,142,142338,99598,27674,44181,391758,26028,136168,146278,8006,41866,722808,19706,13,1,1,29,64,2,13,1,1,30,65,2,Friday July 07 2017 03:41:50
2046,450,70,101,3913,160,1804,479,63,109,3551,242,292550,106122,24203,26708,4054124,55202,330265,74534,7815,9299,568612,45269,12,2,1,23,47,5,11,4,1,24,47,5,Friday July 07 2017 03:44:50
1409,724,48,339,1979,277,1195,848,40,288,1961,278,161364,123370,18328,409814,828883,269196,185011,158845,4924,27401,835839,30469,11,5,1,13,47,4,11,5,1,14,47,4,Friday July 07 2017 03:47:50
3086,634,73,1632,7770,59,2997,699,70,1595,7642,111,296678,112900,27674,1146692,4302302,6596,440421,131292,8586,170435,1798698,9442,12,3,1,38,119,3,12,5,1,37,119,3,Friday July 07 2017 03:50:50
2974,637,61,245,6321,121,2866,706,57,285,6095,209,317124,114722,20290,150610,3992880,27119,469760,125390,6924,30170,1165416,44280,11,1,1,27,117,2,11,2,1,27,118,3,Friday July 07 2017 03:53:50
1516,899,74,2912,1893,73,1350,976,65,2022,1384,134,176114,177816,28004,4111640,2650056,23114,212894,171926,7960,333556,120547,16390,11,3,1,43,17,3,12,4,1,43,17,2,Friday July 07 2017 03:56:50
3025,338,74,8545,5814,4195,2902,400,67,7021,4875,3500,336982,94834,27856,10968350,5697700,5639854,409487,61923,8026,1195262,466613,387660,11,3,1,138,74,45,10,5,1,138,74,47,Friday July 07 2017 03:59:50
1243,596,72,1244,212,2108,1122,642,70,1391,231,2160,151840,106740,27576,96805,28973,3222740,185925,115180,8410,92912,18456,233306,12,4,1,107,9,28,12,4,1,108,9,30,Friday July 07 2017 04:02:50
