Ninputpackets_192.168.10.3,Ninputpackets_192.168.10.50,Ninputpackets_192.168.10.51,Ninputpackets_192.168.10.19,Ninputpackets_192.168.10.9,Ninputpackets_192.168.10.25,Noutputpackets_192.168.10.3,Noutputpackets_192.168.10.50,Noutputpackets_192.168.10.51,Noutputpackets_192.168.10.19,Noutputpackets_192.168.10.9,Noutputpackets_192.168.10.25,inputbytes_192.168.10.3,inputbytes_192.168.10.50,inputbytes_192.168.10.51,inputbytes_192.168.10.19,inputbytes_192.168.10.9,inputbytes_192.168.10.25,outputbytes_192.168.10.3,outputbytes_192.168.10.50,outputbytes_192.168.10.51,outputbytes_192.168.10.19,outputbytes_192.168.10.9,outputbytes_192.168.10.25,inputuniqueIPs_192.168.10.3,inputuniqueIPs_192.168.10.50,inputuniqueIPs_192.168.10.51,inputuniqueIPs_192.168.10.19,inputuniqueIPs_192.168.10.9,inputuniqueIPs_192.168.10.25,outputuniqueIPs_192.168.10.3,outputuniqueIPs_192.168.10.50,outputuniqueIPs_192.168.10.51,outputuniqueIPs_192.168.10.19,outputuniqueIPs_192.168.10.9,outputuniqueIPs_192.168.10.25,Time
5,1,0,0,4,2,3,1,2,0,4,3,236,124,0,0,4656,413,581,52,238,0,282,200,3,0,0,0,3,1,2,1,1,0,3,1,Friday July 07 2017 02:01:00
4,1,0,0,0,1,6,0,0,0,4,1,252,51,0,0,0,377,1220,0,0,0,164,91,4,1,0,0,0,1,3,0,0,0,4,1,Friday July 07 2017 02:04:00
0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,129,0,2036,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,Friday July 07 2017 02:07:00
3,1,0,3,0,0,9,0,0,1,0,0,194,140,0,372,0,0,1016,0,0,171,0,0,2,1,0,0,0,0,6,0,0,1,0,0,Friday July 07 2017 02:10:00
0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1657,97,0,0,0,0,52,0,0,0,0,0,3,1,0,0,0,0,1,Friday July 07 2017 02:13:00
3,0,0,0,3,6,5,1,0,0,0,8,305,0,0,0,1669,10448,421,177,0,0,0,1876,3,0,0,0,2,2,3,1,0,0,0,4,Friday July 07 2017 02:16:00
2,0,0,0,0,1,1,0,0,0,0,1,162,0,0,0,0,1854,72,0,0,0,0,40,2,0,0,0,0,1,1,0,0,0,0,1,Friday July 07 2017 02:19:00
1,3,0,0,0,2,1,3,0,0,0,3,70,499,0,0,0,100,368,168,0,0,0,183,1,3,0,0,0,2,0,3,0,0,0,3,Friday July 07 2017 02:22:00
2,0,0,1,0,1,4,1,0,4,0,2,199,0,0,126,0,1500,497,1016,0,449,0,98,2,0,0,1,0,1,3,1,0,3,0,2,Friday July 07 2017 02:25:00
4,0,0,1,2,3,0,1,0,1,1,3,332,0,0,52,4430,2127,0,52,0,76,81,505,4,0,0,1,2,2,0,0,0,1,1,2,Friday July 07 2017 02:28:00
1,0,0,1,0,0,4,1,0,2,0,1,72,0,0,1500,0,0,486,40,0,104,0,40,1,0,0,1,0,0,3,0,0,1,0,1,Friday July 07 2017 02:31:00
1,0,0,0,4,0,0,0,0,1,2,0,76,0,0,0,8740,0,0,0,0,1500,126,0,1,0,0,0,1,0,0,0,0,1,2,0,Friday July 07 2017 02:34:00
3,0,0,4,0,0,5,2,0,2,1,0,358,0,0,1687,0,0,506,1087,0,104,2960,0,2,0,0,3,0,0,2,2,0,2,1,0,Friday July 07 2017 02:37:00
4,1,0,0,5,1,5,1,0,0,3,1,252,126,0,0,3541,52,621,52,0,0,168,52,3,1,0,0,2,1,4,1,0,0,1,1,Friday July 07 2017 02:40:00
2,1,0,0,0,2,0,2,0,1,0,0,155,40,0,0,0,3000,0,144,0,40,0,0,2,1,0,0,0,2,0,2,0,1,0,0,Friday July 07 2017 02:43:00
2,0,0,0,4,1,1,0,0,0,3,0,270,0,0,0,2431,4246,95,0,0,0,317,0,2,0,0,0,3,1,1,0,0,0,3,0,Friday July 07 2017 02:46:00
1,0,0,0,0,0,2,1,0,0,0,1,222,0,0,0,0,0,237,222,0,0,0,78,1,0,0,0,0,0,2,1,0,0,0,1,Friday July 07 2017 02:49:00
4,0,0,4,3,1,3,0,0,1,0,0,376,0,0,8866,1699,1334,1537,0,0,60,0,0,3,0,0,3,2,0,3,0,0,1,0,0,Friday July 07 2017 02:52:00
2,2,0,1,0,0,6,0,0,2,1,2,139,192,0,666,0,0,1302,0,0,128,40,104,2,1,0,1,0,0,5,0,0,2,1,2,Friday July 07 2017 02:55:00
5,1,0,2,0,4,2,0,0,0,0,5,304,60,0,1560,0,5789,209,0,0,0,0,268,2,1,0,1,0,1,1,0,0,0,0,3,Friday July 07 2017 02:58:00
5,0,0,0,9,3,8,1,0,0,7,3,478,0,0,0,10798,4028,946,104,0,0,347,168,4,0,0,0,4,3,5,1,0,0,5,2,Friday July 07 2017 03:01:00
5,0,0,1,8,0,3,0,0,0,4,3,474,0,0,52,7575,0,359,0,0,0,160,176,3,0,0,1,5,0,2,0,0,0,3,2,Friday July 07 2017 03:04:00
6,0,0,7,2,15,5,0,0,4,0,5,486,0,0,415,123,27009,662,0,0,694,0,236,6,0,0,7,2,9,3,0,0,3,0,3,Friday July 07 2017 03:07:00
3,1,0,1,1,27,4,1,1,0,4,12,190,107,0,52,82,53532,438,52,52,0,211,600,2,1,0,1,1,1,3,1,1,0,3,3,Friday July 07 2017 03:10:00
3,0,0,0,5,13,3,0,0,1,4,13,385,0,0,0,5109,48360,631,0,0,52,172,688,1,0,0,0,4,4,2,0,0,1,4,2,Friday July 07 2017 03:13:00
3,1,0,0,1,38,2,2,0,0,3,29,206,108,0,0,52,148224,297,80,0,0,133,1508,2,1,0,0,1,1,2,1,0,0,3,2,Friday July 07 2017 03:16:00
6,2,0,8,0,2,5,1,0,2,4,1,468,164,0,10605,0,1511,525,83,0,123,202,465,5,1,0,7,0,2,5,1,0,1,2,1,Friday July 07 2017 03:19:00
8,0,0,7,2,22,8,0,0,8,2,14,525,0,0,2375,1725,40403,1093,0,0,486,104,1823,4,0,0,6,2,6,5,0,0,5,1,6,Friday July 07 2017 03:22:00
8,0,0,5,2,7,3,0,0,11,5,1,508,0,0,669,232,13276,388,0,0,677,1263,52,2,0,0,4,1,5,2,0,0,5,4,1,Friday July 07 2017 03:25:00
6,1,0,2,17,1,9,0,0,4,17,1,407,52,0,216,16971,2888,1751,0,0,1482,804,75,4,0,0,1,12,1,5,0,0,3,11,1,Friday July 07 2017 03:28:00
4,0,0,6,6,1,4,2,0,1,7,0,268,0,0,1884,420,52,489,144,0,69,405,0,2,0,0,6,4,1,3,2,0,1,4,0,Friday July 07 2017 03:31:00
