Ninputpackets_192.168.10.3,Ninputpackets_192.168.10.50,Ninputpackets_192.168.10.51,Ninputpackets_192.168.10.19,Ninputpackets_192.168.10.9,Ninputpackets_192.168.10.25,Noutputpackets_192.168.10.3,Noutputpackets_192.168.10.50,Noutputpackets_192.168.10.51,Noutputpackets_192.168.10.19,Noutputpackets_192.168.10.9,Noutputpackets_192.168.10.25,inputbytes_192.168.10.3,inputbytes_192.168.10.50,inputbytes_192.168.10.51,inputbytes_192.168.10.19,inputbytes_192.168.10.9,inputbytes_192.168.10.25,outputbytes_192.168.10.3,outputbytes_192.168.10.50,outputbytes_192.168.10.51,outputbytes_192.168.10.19,outputbytes_192.168.10.9,outputbytes_192.168.10.25,inputuniqueIPs_192.168.10.3,inputuniqueIPs_192.168.10.50,inputuniqueIPs_192.168.10.51,inputuniqueIPs_192.168.10.19,inputuniqueIPs_192.168.10.9,inputuniqueIPs_192.168.10.25,outputuniqueIPs_192.168.10.3,outputuniqueIPs_192.168.10.50,outputuniqueIPs_192.168.10.51,outputuniqueIPs_192.168.10.19,outputuniqueIPs_192.168.10.9,outputuniqueIPs_192.168.10.25,Time
1989,422,0,0,553,41,2069,1180,0,0,1042,199,390231,86230,0,0,132140,3802,443072,148940,0,0,200373,17284,7,10,0,0,5,5,7,11,0,0,9,5,Monday July 03 2017 01:55:58
1594,449,0,0,181,522,1260,505,0,0,238,1357,259589,414340,0,0,27796,356742,499045,57721,0,0,40758,211848,7,15,0,0,2,2,8,15,0,0,6,4,Monday July 03 2017 01:58:58
2110,41,0,415,4902,38,2046,79,0,966,3884,116,370674,3824,0,76718,7587295,5136,436010,9491,0,121751,353602,12246,9,10,0,17,28,1,10,11,0,18,28,1,Monday July 03 2017 02:01:58
3709,294,0,63,1372,33,3637,318,0,109,1302,91,358672,105984,0,4816,938720,4990,499954,39322,0,10478,204451,10376,8,8,0,19,40,1,9,8,0,20,40,2,Monday July 03 2017 02:04:58
2488,256,43,59,144,207,2275,530,396,73,141,465,398348,87204,4833,4484,37579,113260,486336,58091,52695,7979,10199,90406,10,11,1,18,8,1,12,12,3,18,8,1,Monday July 03 2017 02:07:58
1661,260,95,51,2481,73,1503,280,117,88,2194,171,162033,356548,23016,3908,2352615,27820,194076,25266,10306,9396,197293,28688,11,12,4,18,36,1,11,12,4,19,36,2,Monday July 03 2017 02:10:58
3902,379,82,61,7506,1778,3790,397,87,61,6167,1923,363648,138012,28646,4636,8904894,1918655,521742,50007,9161,4636,464991,230973,10,5,1,19,85,39,10,5,2,19,85,40,Monday July 03 2017 02:13:58
3111,341,1756,67,1586,139,3030,366,1790,105,1347,217,388633,92178,1580224,4904,2035733,28849,471058,55215,290512,10482,88823,42035,13,4,59,19,35,3,14,4,60,20,35,3,Monday July 03 2017 02:16:58
4308,220,4432,1265,1116,57,4072,241,3626,1069,1041,110,571614,80418,4886271,2185231,846810,12627,731300,32402,327098,95067,111923,12709,18,5,75,23,29,2,19,5,75,23,29,3,Monday July 03 2017 02:19:58
3723,360,1720,38,183,3275,3641,588,1564,55,227,2487,361849,132570,1439046,3568,10106,5264587,496389,57940,177048,7983,11260,238029,13,4,68,19,13,28,13,7,68,19,13,28,Monday July 03 2017 02:22:58
4229,208,958,497,3199,155,3673,430,1061,1119,3200,257,417856,95792,431808,108534,1665738,41451,544336,31889,125985,150162,295704,52460,12,4,47,19,87,4,12,6,48,20,87,4,Monday July 03 2017 02:25:58
3885,465,463,62,1519,38,3445,535,491,118,957,97,364461,133730,103370,5880,1145754,5182,473002,84084,35733,14464,59548,9045,13,4,30,19,19,1,13,5,30,20,19,2,Monday July 03 2017 02:28:58
