Ninputpackets_192.168.10.3,Ninputpackets_192.168.10.50,Ninputpackets_192.168.10.51,Ninputpackets_192.168.10.19,Ninputpackets_192.168.10.9,Ninputpackets_192.168.10.25,Noutputpackets_192.168.10.3,Noutputpackets_192.168.10.50,Noutputpackets_192.168.10.51,Noutputpackets_192.168.10.19,Noutputpackets_192.168.10.9,Noutputpackets_192.168.10.25,inputbytes_192.168.10.3,inputbytes_192.168.10.50,inputbytes_192.168.10.51,inputbytes_192.168.10.19,inputbytes_192.168.10.9,inputbytes_192.168.10.25,outputbytes_192.168.10.3,outputbytes_192.168.10.50,outputbytes_192.168.10.51,outputbytes_192.168.10.19,outputbytes_192.168.10.9,outputbytes_192.168.10.25,inputuniqueIPs_192.168.10.3,inputuniqueIPs_192.168.10.50,inputuniqueIPs_192.168.10.51,inputuniqueIPs_192.168.10.19,inputuniqueIPs_192.168.10.9,inputuniqueIPs_192.168.10.25,outputuniqueIPs_192.168.10.3,outputuniqueIPs_192.168.10.50,outputuniqueIPs_192.168.10.51,outputuniqueIPs_192.168.10.19,outputuniqueIPs_192.168.10.9,outputuniqueIPs_192.168.10.25,Time
0,1,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Monday July 03 2017 01:56:58
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1470,0,0,0,0,0,1383,0,0,0,0,0,1,0,0,0,0,0,1,0,Monday July 03 2017 01:59:58
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Monday July 03 2017 02:02:58
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Monday July 03 2017 02:05:58
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Monday July 03 2017 02:08:58
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4296,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Monday July 03 2017 02:11:58
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Monday July 03 2017 02:14:58
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Monday July 03 2017 02:17:58
0,0,6,1,1,0,0,0,0,0,0,0,0,0,10405,1500,1500,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,Monday July 03 2017 02:20:58
0,0,1,0,1,1,0,0,0,0,0,0,0,0,1500,0,1500,2848,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,Monday July 03 2017 02:23:58
1,0,1,0,0,0,0,0,0,0,0,1,1357,0,1500,0,0,0,0,0,0,0,0,1357,1,0,1,0,0,0,0,0,0,0,0,1,Monday July 03 2017 02:26:58
0,1,0,0,1,0,1,0,0,0,0,0,0,1668,0,0,1500,0,1668,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,Monday July 03 2017 02:29:58
0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,5501,0,0,0,0,1116,0,0,0,0,0,0,3,0,0,0,0,1,0,Monday July 03 2017 02:32:58
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2970,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Monday July 03 2017 02:35:58
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1340,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Monday July 03 2017 02:38:58
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3120,2205,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,Monday July 03 2017 02:41:58
0,1,8,0,7,0,0,0,0,1,1,0,0,2452,14836,0,13280,0,0,0,0,2452,1501,0,0,1,3,0,4,0,0,0,0,1,1,0,Monday July 03 2017 02:44:58
0,0,1,0,3,0,0,0,0,0,0,0,0,0,1429,0,4440,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,Monday July 03 2017 02:47:58
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4470,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Monday July 03 2017 02:50:58
