Ninputpackets_192.168.10.3,Ninputpackets_192.168.10.50,Ninputpackets_192.168.10.51,Ninputpackets_192.168.10.19,Ninputpackets_192.168.10.9,Ninputpackets_192.168.10.25,Noutputpackets_192.168.10.3,Noutputpackets_192.168.10.50,Noutputpackets_192.168.10.51,Noutputpackets_192.168.10.19,Noutputpackets_192.168.10.9,Noutputpackets_192.168.10.25,inputbytes_192.168.10.3,inputbytes_192.168.10.50,inputbytes_192.168.10.51,inputbytes_192.168.10.19,inputbytes_192.168.10.9,inputbytes_192.168.10.25,outputbytes_192.168.10.3,outputbytes_192.168.10.50,outputbytes_192.168.10.51,outputbytes_192.168.10.19,outputbytes_192.168.10.9,outputbytes_192.168.10.25,inputuniqueIPs_192.168.10.3,inputuniqueIPs_192.168.10.50,inputuniqueIPs_192.168.10.51,inputuniqueIPs_192.168.10.19,inputuniqueIPs_192.168.10.9,inputuniqueIPs_192.168.10.25,outputuniqueIPs_192.168.10.3,outputuniqueIPs_192.168.10.50,outputuniqueIPs_192.168.10.51,outputuniqueIPs_192.168.10.19,outputuniqueIPs_192.168.10.9,outputuniqueIPs_192.168.10.25,Time
3166,348,0,390,347,0,2793,505,0,866,532,0,701074,112298,0,79722,89727,0,746554,100373,0,112909,118164,0,9,2,0,19,1,0,10,2,0,21,4,0,Thursday July 06 2017 01:59:00
2730,479,0,353,6832,383,2353,564,0,451,5821,1333,439919,119432,0,85510,9907621,269650,670762,100300,0,67294,541460,183498,11,0,0,21,51,5,11,0,0,22,52,5,Thursday July 06 2017 02:02:00
1793,499,22,2257,836,1029,1585,549,205,1802,881,1284,276675,130172,2068,2834036,519350,914448,318131,84944,41305,204728,75645,207424,13,1,0,25,39,17,12,2,1,25,39,19,Thursday July 06 2017 02:05:00
3993,358,3199,659,159,65,3808,381,2640,732,176,152,410154,97294,4934705,336093,37633,19490,533179,57094,285521,64776,81789,20686,13,1,30,39,10,1,13,1,33,39,10,2,Thursday July 06 2017 02:08:00
2972,568,485,315,70,41,2726,623,565,316,74,82,354723,140324,42205,307811,8959,5490,450884,105619,33120,39863,32739,7462,12,3,25,23,1,1,11,4,26,24,4,2,Thursday July 06 2017 02:11:00
4451,290,235,197,197,472,4136,332,211,250,211,514,409827,56462,193926,17257,61460,585892,542143,70095,27657,19589,25605,51119,15,3,6,22,4,7,15,3,7,23,4,8,Thursday July 06 2017 02:14:00
2972,28065,4221,2335,46,455,2640,17370,3470,2358,50,556,317679,54637026,5012956,2444171,7945,529803,377102,1123253,333792,299438,4073,84469,13,8,36,68,2,7,13,9,37,70,2,7,Thursday July 06 2017 02:17:00
2477,1220,5582,326,52,2008,2507,1001,3892,434,58,2364,214277,272418,7264452,79568,7219,1724868,312235,288025,388677,38249,23855,329684,12,19,56,44,1,48,12,18,57,46,1,50,Thursday July 06 2017 02:20:00
4636,1853,927,243,2,87,4129,1188,906,253,2,172,388137,421476,590461,30139,152,26448,516011,503868,94338,30553,152,21733,10,20,45,22,0,3,11,20,47,22,0,5,Thursday July 06 2017 02:23:00
1655,1889,294,878,0,210,1347,1213,309,820,0,295,149978,408916,53457,555518,0,105281,169716,520021,29533,80437,0,29418,11,16,14,25,0,7,12,16,14,25,0,8,Thursday July 06 2017 02:26:00
5618,1857,1412,7412,4800,130,4953,1215,1382,5920,4016,219,538962,402335,1583528,11803364,4949366,59718,643471,514137,127225,517686,462953,25749,15,16,4,48,57,7,15,16,4,48,57,8,Thursday July 06 2017 02:29:00
2555,2152,552,878,15,1903,2140,1509,589,819,21,1472,240789,478969,328918,659804,5422,2607669,291161,564333,70958,61392,2601,144360,12,6,11,26,1,27,12,6,11,26,1,28,Thursday July 06 2017 02:32:00
4011,1688,436,3989,0,1748,3731,1029,505,3873,0,1920,386001,351840,79034,3326571,0,1124706,515179,496349,44882,679801,0,260944,13,5,11,134,0,21,12,5,11,137,0,22,Thursday July 06 2017 02:35:00
4346,2017,80,1631,8,73,3945,1364,70,1711,8,139,397681,414008,28290,116974,692,22610,529301,557427,8178,148925,728,16742,13,5,1,107,0,2,13,5,1,107,0,3,Thursday July 06 2017 02:38:00
