Ninputpackets_192.168.10.3,Ninputpackets_192.168.10.50,Ninputpackets_192.168.10.51,Ninputpackets_192.168.10.19,Ninputpackets_192.168.10.9,Ninputpackets_192.168.10.25,Noutputpackets_192.168.10.3,Noutputpackets_192.168.10.50,Noutputpackets_192.168.10.51,Noutputpackets_192.168.10.19,Noutputpackets_192.168.10.9,Noutputpackets_192.168.10.25,inputbytes_192.168.10.3,inputbytes_192.168.10.50,inputbytes_192.168.10.51,inputbytes_192.168.10.19,inputbytes_192.168.10.9,inputbytes_192.168.10.25,outputbytes_192.168.10.3,outputbytes_192.168.10.50,outputbytes_192.168.10.51,outputbytes_192.168.10.19,outputbytes_192.168.10.9,outputbytes_192.168.10.25,inputuniqueIPs_192.168.10.3,inputuniqueIPs_192.168.10.50,inputuniqueIPs_192.168.10.51,inputuniqueIPs_192.168.10.19,inputuniqueIPs_192.168.10.9,inputuniqueIPs_192.168.10.25,outputuniqueIPs_192.168.10.3,outputuniqueIPs_192.168.10.50,outputuniqueIPs_192.168.10.51,outputuniqueIPs_192.168.10.19,outputuniqueIPs_192.168.10.9,outputuniqueIPs_192.168.10.25,Time
5,0,0,0,2,0,4,2,0,1,5,0,818,0,0,0,4400,0,4743,515,0,52,311,0,4,0,0,0,2,0,3,1,0,0,3,0,Thursday July 06 2017 02:00:20
3,0,0,0,1,0,1,3,0,0,8,3,557,0,0,0,1500,0,140,284,0,0,1783,734,2,0,0,0,1,0,1,1,0,0,6,2,Thursday July 06 2017 02:03:20
6,1,0,1,0,1,4,0,0,2,0,0,371,368,0,52,0,1470,884,0,0,112,0,0,2,1,0,1,0,1,2,0,0,1,0,0,Thursday July 06 2017 02:06:20
3,0,2,1,0,0,4,0,2,0,0,0,206,0,1552,1500,0,0,491,0,116,0,0,0,3,0,1,1,0,0,2,0,2,0,0,0,Thursday July 06 2017 02:09:20
6,1,0,0,0,0,5,0,0,0,0,1,492,148,0,0,0,0,618,0,0,0,0,148,4,1,0,0,0,0,4,0,0,0,0,1,Thursday July 06 2017 02:12:20
1,0,2,0,0,1,1,0,1,0,0,0,179,0,1964,0,0,2888,79,0,52,0,0,0,1,0,2,0,0,1,1,0,1,0,0,0,Thursday July 06 2017 02:15:20
5,27,1,2,0,4,5,22,2,2,0,2,374,56440,52,1540,0,292,589,1183,145,104,0,1385,4,3,1,2,0,4,4,2,2,2,0,2,Thursday July 06 2017 02:18:20
3,1,3,0,0,0,1,0,2,0,0,0,241,52,5948,0,0,0,77,0,104,0,0,0,3,1,2,0,0,0,1,0,2,0,0,0,Thursday July 06 2017 02:21:20
0,3,0,0,0,0,3,1,0,0,0,0,0,158,0,0,0,0,265,1118,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,Thursday July 06 2017 02:24:20
2,1,1,4,8,0,4,2,1,3,2,0,154,52,1400,6003,7590,0,366,461,202,199,111,0,2,1,1,3,7,0,3,2,1,3,1,0,Thursday July 06 2017 02:27:20
2,2,0,0,0,0,2,3,0,4,1,0,516,104,0,0,0,0,492,1989,0,411,41,0,2,1,0,0,0,0,2,2,0,3,1,0,Thursday July 06 2017 02:30:20
0,1,1,1,0,3,4,1,0,1,0,3,0,52,95,119,0,3022,355,415,0,40,0,1628,0,1,1,1,0,3,3,1,0,1,0,2,Thursday July 06 2017 02:33:20
3,2,0,2,0,0,1,1,0,1,0,0,311,104,0,104,0,0,84,1083,0,69,0,0,3,2,0,2,0,0,1,1,0,1,0,0,Thursday July 06 2017 02:36:20
9,2,0,8,0,0,4,4,0,8,0,0,872,104,0,10887,0,0,599,2684,0,435,0,0,4,1,0,7,0,0,4,1,0,7,0,0,Thursday July 06 2017 02:39:20
