Ninputpackets_192.168.10.3,Ninputpackets_192.168.10.50,Ninputpackets_192.168.10.51,Ninputpackets_192.168.10.19,Ninputpackets_192.168.10.9,Ninputpackets_192.168.10.25,Noutputpackets_192.168.10.3,Noutputpackets_192.168.10.50,Noutputpackets_192.168.10.51,Noutputpackets_192.168.10.19,Noutputpackets_192.168.10.9,Noutputpackets_192.168.10.25,inputbytes_192.168.10.3,inputbytes_192.168.10.50,inputbytes_192.168.10.51,inputbytes_192.168.10.19,inputbytes_192.168.10.9,inputbytes_192.168.10.25,outputbytes_192.168.10.3,outputbytes_192.168.10.50,outputbytes_192.168.10.51,outputbytes_192.168.10.19,outputbytes_192.168.10.9,outputbytes_192.168.10.25,inputuniqueIPs_192.168.10.3,inputuniqueIPs_192.168.10.50,inputuniqueIPs_192.168.10.51,inputuniqueIPs_192.168.10.19,inputuniqueIPs_192.168.10.9,inputuniqueIPs_192.168.10.25,outputuniqueIPs_192.168.10.3,outputuniqueIPs_192.168.10.50,outputuniqueIPs_192.168.10.51,outputuniqueIPs_192.168.10.19,outputuniqueIPs_192.168.10.9,outputuniqueIPs_192.168.10.25,Time
626,198,0,0,0,0,707,233,0,0,0,0,111268,46472,0,0,0,0,130059,39227,0,0,0,0,4,1,0,0,0,0,6,2,0,0,0,0,Tuesday July 04 2017 01:53:44
4374,221,405,404,464,0,4235,311,758,976,784,0,946812,59108,141502,75198,116087,0,1081871,61786,140499,125652,153268,0,12,4,4,18,3,0,13,4,7,19,3,0,Tuesday July 04 2017 01:56:44
5034,256,4230,64,14247,591,4706,328,3225,112,12799,1866,561694,51576,5304672,4892,12543859,366028,927165,58955,308286,10707,1588299,273367,13,0,34,19,214,5,14,0,34,21,217,5,Tuesday July 04 2017 01:59:44
920,132,3178,60,1710,515,874,166,3092,73,1769,704,123900,18656,3333655,4560,449650,434232,151532,31430,455073,7979,120455,90199,12,1,51,19,141,11,11,2,51,19,141,13,Tuesday July 04 2017 02:02:44
2856,837,1461,53,512,43,2561,941,1671,90,514,111,369752,202106,330587,4056,247411,5670,434029,156903,209854,9258,43266,12553,10,3,43,19,17,1,10,4,44,19,17,1,Tuesday July 04 2017 02:05:44
4836,539,1491,46,38,306,4568,603,1468,50,41,345,534198,132016,1211741,4176,7119,235673,676743,99512,178635,5172,10958,57643,12,3,41,19,3,9,13,3,41,19,3,9,Tuesday July 04 2017 02:08:44
4834,394,2165,853,3767,114,4460,460,1916,1559,3308,206,623490,83784,2227094,187676,2571572,31377,753538,80579,193921,216622,358011,24334,12,0,28,22,33,6,13,1,28,23,33,6,Tuesday July 04 2017 02:11:44
6290,571,801,202,4068,1608,6043,591,983,216,3396,1416,612055,174988,148141,147828,2820204,2106426,869617,83454,143354,33304,431611,165141,12,4,25,21,56,27,12,4,26,23,56,27,Tuesday July 04 2017 02:14:44
6310,1388,6693,224,2075,4264,6118,1890,6437,245,2129,4058,569589,134862,6571129,40827,517930,5368707,790077,190123,994066,24937,264410,419134,13,1,117,24,74,29,12,2,118,25,74,30,Tuesday July 04 2017 02:17:44
2552,2499,3332,215,2461,525,2399,3767,3182,273,2107,719,245318,201075,3259781,38697,3546709,398174,301004,283176,498492,29681,170853,95185,15,1,72,22,33,13,16,1,72,23,33,13,Tuesday July 04 2017 02:20:44
4320,5164,1354,3760,248,629,4028,6235,1507,3859,277,905,421831,2666061,342818,3209337,15814,405223,551322,589300,280694,439154,17595,105349,14,34,49,84,19,19,15,34,49,84,19,24,Tuesday July 04 2017 02:23:44
2974,3175,912,315,299,606,2735,4562,888,387,286,690,306420,328122,1016037,22711,89818,578309,356694,355360,101041,26935,55678,72730,15,30,27,54,3,15,14,31,27,56,3,20,Tuesday July 04 2017 02:26:44
3274,2660,680,5297,0,2948,3008,3848,549,3391,0,2650,298016,305899,781006,8950625,0,4388119,383414,297763,64631,310050,0,304033,12,6,8,51,0,31,12,6,9,51,0,37,Tuesday July 04 2017 02:29:44
5556,2863,3642,119,2842,2013,5347,4123,3619,142,2240,1454,487944,291626,3573208,15390,3642248,3282715,689205,332189,492182,19962,221922,118058,12,6,95,22,29,13,12,7,95,22,29,17,Tuesday July 04 2017 02:32:44
4862,2561,1044,191,4336,4712,4492,3802,1175,216,3902,4025,437893,207024,78835,64870,4278997,6464041,593263,302216,69085,23316,327876,383937,11,4,67,23,44,33,11,5,67,23,44,34,Tuesday July 04 2017 02:35:44
3433,2781,491,5716,2900,1948,3276,4063,431,5046,2724,1218,332729,248517,466764,5553421,1730024,3242953,461965,321859,42171,644826,274755,108074,13,3,6,101,58,6,15,3,6,101,58,7,Tuesday July 04 2017 02:38:44
6731,2668,273,94,1964,2969,6216,3872,284,102,1632,1948,621630,237749,62720,11256,2196383,4924978,819768,317052,26036,8329,150931,159183,11,5,10,23,29,17,11,5,10,24,29,18,Tuesday July 04 2017 02:41:44
2801,2757,389,61,1672,3225,2452,4022,365,87,1490,2890,254892,268482,328579,4664,2329907,4106216,330861,321564,34912,6599,101748,319071,13,3,8,19,19,37,14,3,8,20,19,40,Tuesday July 04 2017 02:44:44
5718,2933,179,202,142,1934,5196,4159,192,220,155,1157,528996,314412,38392,43906,16471,3339838,721787,363658,36210,38708,11409,91159,12,5,7,22,14,7,11,6,7,22,14,11,Tuesday July 04 2017 02:47:44
5236,2781,5551,118,2272,5116,4678,4085,4886,128,2071,4660,489765,223882,6473624,12256,2896799,6932853,629293,327225,709881,9719,151872,382803,16,5,90,24,19,43,16,5,90,25,18,50,Tuesday July 04 2017 02:50:44
4881,2691,8074,31,3253,2031,4452,3908,6483,31,3018,1318,434801,273025,10552819,2356,2287735,3344704,574160,331438,944985,2356,284923,100639,12,5,129,19,46,8,13,6,129,19,46,15,Tuesday July 04 2017 02:53:44
3565,2477,1248,4997,111,2715,3252,3697,1353,3334,159,2117,361899,196130,95434,6467246,14643,3795601,429765,282751,80817,381415,17158,206554,16,1,52,61,10,15,17,2,51,61,10,22,Tuesday July 04 2017 02:56:44
2652,2772,205,91,2667,2090,2324,3996,206,119,1937,1340,257050,247657,48346,7753,4106410,3374080,328745,333999,20626,8925,182738,112775,13,4,3,27,11,7,13,4,4,27,11,19,Tuesday July 04 2017 02:59:44
3751,2804,68,35,5026,2228,3427,4093,86,51,3645,1527,368191,270357,23608,2631,7711073,3412352,482671,324096,8923,3741,269761,131098,11,2,1,21,26,23,11,3,2,21,26,28,Tuesday July 04 2017 03:02:44
3174,2637,73,5288,71,1992,2980,3866,78,5411,74,1228,318859,195645,24124,3793102,3382,3342832,422142,314717,7990,673228,3138,95741,12,6,2,146,7,6,11,7,3,147,7,13,Tuesday July 04 2017 03:05:44
5368,2818,162,299,1649,2274,4878,4101,153,332,1472,1542,488731,251845,45948,71212,1120284,3468864,662150,348599,17854,43492,127574,149296,10,2,1,27,29,17,9,3,1,27,29,22,Tuesday July 04 2017 03:08:44
2083,2678,87,73,3830,2205,1834,3955,78,87,3180,1414,244680,216985,29088,19760,5262791,3472958,292599,315159,8764,22271,264664,123817,13,3,1,21,43,17,13,3,1,22,43,21,Tuesday July 04 2017 03:11:44
2918,2601,5528,5023,435,2869,2716,3813,5101,5002,514,2001,269974,229834,5625728,3634040,28710,4423760,364946,291649,656844,630565,27380,177608,11,4,65,84,28,12,11,4,64,84,28,17,Tuesday July 04 2017 03:14:44
1568,2588,235,192,26,2176,1390,3698,277,250,28,1445,167915,244278,46735,30907,2132,3465232,200760,324064,24579,26055,1744,122830,11,4,22,22,1,17,10,5,22,25,1,22,Tuesday July 04 2017 03:17:44
2399,609,84,34,6242,1988,2231,669,73,63,5342,1213,226563,103902,28570,2570,5244941,3250067,299547,119948,8226,4334,585169,103930,11,4,1,20,115,10,12,4,1,21,115,17,Tuesday July 04 2017 03:20:44
2278,293,65,130,800,2155,2196,309,59,130,882,1372,208146,34655,23422,22660,47116,3493532,286121,53304,6847,12820,42377,117476,14,5,2,10,85,13,15,5,2,10,85,22,Tuesday July 04 2017 03:23:44
2468,860,530,1782,1701,1857,2368,903,540,1541,1167,1112,255613,161285,397898,1890653,2706958,3230204,315020,170791,61161,163783,111434,89751,13,6,9,43,6,9,12,7,10,43,6,13,Tuesday July 04 2017 03:26:44
