Ninputpackets_192.168.10.3,Ninputpackets_192.168.10.50,Ninputpackets_192.168.10.51,Ninputpackets_192.168.10.19,Ninputpackets_192.168.10.9,Ninputpackets_192.168.10.25,Noutputpackets_192.168.10.3,Noutputpackets_192.168.10.50,Noutputpackets_192.168.10.51,Noutputpackets_192.168.10.19,Noutputpackets_192.168.10.9,Noutputpackets_192.168.10.25,inputbytes_192.168.10.3,inputbytes_192.168.10.50,inputbytes_192.168.10.51,inputbytes_192.168.10.19,inputbytes_192.168.10.9,inputbytes_192.168.10.25,outputbytes_192.168.10.3,outputbytes_192.168.10.50,outputbytes_192.168.10.51,outputbytes_192.168.10.19,outputbytes_192.168.10.9,outputbytes_192.168.10.25,inputuniqueIPs_192.168.10.3,inputuniqueIPs_192.168.10.50,inputuniqueIPs_192.168.10.51,inputuniqueIPs_192.168.10.19,inputuniqueIPs_192.168.10.9,inputuniqueIPs_192.168.10.25,outputuniqueIPs_192.168.10.3,outputuniqueIPs_192.168.10.50,outputuniqueIPs_192.168.10.51,outputuniqueIPs_192.168.10.19,outputuniqueIPs_192.168.10.9,outputuniqueIPs_192.168.10.25,Time
6,0,0,0,0,0,0,0,0,2,1,0,687,0,0,0,0,0,0,0,0,235,52,0,5,0,0,0,0,0,0,0,0,2,0,0,Tuesday July 04 2017 01:55:02
3,1,7,0,0,0,2,1,5,1,0,0,564,60,10590,0,0,0,3630,455,285,73,0,0,2,1,5,0,0,0,1,0,5,1,0,0,Tuesday July 04 2017 01:58:02
3,0,2,1,15,1,6,0,0,0,9,1,301,0,182,76,10838,700,1516,0,0,0,1445,72,3,0,1,1,12,0,4,0,0,0,6,0,Tuesday July 04 2017 02:01:02
3,0,2,0,0,0,1,0,4,0,1,0,356,0,1552,0,0,0,82,0,217,0,40,0,2,0,2,0,0,0,1,0,4,0,1,0,Tuesday July 04 2017 02:04:02
9,1,2,0,0,0,6,1,0,0,1,0,997,118,2086,0,0,0,682,72,0,0,40,0,5,1,2,0,0,0,4,1,0,0,1,0,Tuesday July 04 2017 02:07:02
12,0,1,0,4,0,5,1,2,0,1,1,762,0,52,0,3504,0,576,52,110,0,40,52,6,0,1,0,4,0,3,0,2,0,1,1,Tuesday July 04 2017 02:10:02
8,1,1,0,2,0,9,1,1,0,0,0,1021,124,1500,0,80,0,1042,176,52,0,0,0,5,1,1,0,1,0,5,1,1,0,0,0,Tuesday July 04 2017 02:13:02
5,0,8,0,5,4,7,1,3,0,4,2,414,0,10560,0,1654,3697,768,156,586,0,242,104,4,0,3,0,4,3,5,1,3,0,4,2,Tuesday July 04 2017 02:16:02
8,2,3,1,1,4,5,1,2,0,1,5,678,112,1604,52,93,4552,496,52,104,0,41,260,2,1,3,1,1,3,3,1,2,0,1,4,Tuesday July 04 2017 02:19:02
8,1,4,2,5,1,1,0,4,1,2,1,661,74,1541,4448,10420,1465,78,0,258,67,110,64,5,1,4,1,2,1,1,0,3,0,2,1,Tuesday July 04 2017 02:22:02
2,5,3,1,0,0,2,9,1,4,0,0,130,5976,3087,52,0,0,231,648,40,238,0,0,2,4,3,1,0,0,2,6,1,4,0,0,Tuesday July 04 2017 02:25:02
6,2,0,4,0,3,3,1,0,2,0,2,580,137,0,6056,0,3077,352,74,0,104,0,141,3,2,0,2,0,2,3,1,0,1,0,2,Tuesday July 04 2017 02:28:02
4,3,0,0,1,5,1,3,0,0,0,1,366,192,0,0,1470,7465,104,178,0,0,0,52,2,1,0,0,1,3,1,1,0,0,0,1,Tuesday July 04 2017 02:31:02
9,2,2,0,3,4,4,4,6,0,5,3,959,118,104,0,3129,4690,661,599,834,0,862,144,5,1,2,0,3,2,3,2,4,0,4,3,Tuesday July 04 2017 02:34:02
6,2,0,5,6,0,6,8,0,3,2,2,554,134,0,5992,1759,0,676,422,0,5913,127,104,4,1,0,4,5,0,2,1,0,3,2,1,Tuesday July 04 2017 02:37:02
5,0,0,2,4,1,4,4,0,1,1,1,376,0,0,104,3138,2948,500,258,0,52,41,52,5,0,0,2,3,1,4,1,0,1,1,1,Tuesday July 04 2017 02:40:02
2,1,0,0,3,3,4,1,0,1,1,2,520,52,0,0,4500,3052,483,455,0,76,166,104,2,1,0,0,1,2,1,1,0,1,1,2,Tuesday July 04 2017 02:43:02
13,4,0,0,0,3,1,4,0,2,0,3,1505,539,0,0,0,2265,257,738,0,408,0,181,4,2,0,0,0,2,1,2,0,2,0,2,Tuesday July 04 2017 02:46:02
4,4,0,0,2,4,3,6,1,0,2,4,343,863,0,0,1510,3095,406,424,669,0,80,196,3,2,0,0,2,3,3,1,1,0,2,4,Tuesday July 04 2017 02:49:02
3,3,3,0,2,2,6,4,4,0,3,3,304,186,3127,0,3000,3000,547,218,670,0,178,156,2,2,2,0,1,2,2,1,3,0,3,2,Tuesday July 04 2017 02:52:02
2,1,3,5,3,1,3,3,2,2,0,2,189,66,4742,4751,144,1500,381,208,104,112,0,509,2,1,2,5,3,1,2,1,1,1,0,1,Tuesday July 04 2017 02:55:02
1,3,2,0,1,3,3,1,0,1,0,4,58,186,104,0,1500,4537,527,52,0,52,0,260,1,1,2,0,1,3,3,1,0,1,0,2,Tuesday July 04 2017 02:58:02
2,1,0,0,0,4,0,6,0,0,5,2,119,64,0,0,0,6000,0,354,0,0,200,116,2,1,0,0,0,1,0,2,0,0,1,2,Tuesday July 04 2017 03:01:02
