Ninputpackets_192.168.10.3,Ninputpackets_192.168.10.50,Ninputpackets_192.168.10.51,Ninputpackets_192.168.10.19,Ninputpackets_192.168.10.9,Ninputpackets_192.168.10.25,Noutputpackets_192.168.10.3,Noutputpackets_192.168.10.50,Noutputpackets_192.168.10.51,Noutputpackets_192.168.10.19,Noutputpackets_192.168.10.9,Noutputpackets_192.168.10.25,inputbytes_192.168.10.3,inputbytes_192.168.10.50,inputbytes_192.168.10.51,inputbytes_192.168.10.19,inputbytes_192.168.10.9,inputbytes_192.168.10.25,outputbytes_192.168.10.3,outputbytes_192.168.10.50,outputbytes_192.168.10.51,outputbytes_192.168.10.19,outputbytes_192.168.10.9,outputbytes_192.168.10.25,inputuniqueIPs_192.168.10.3,inputuniqueIPs_192.168.10.50,inputuniqueIPs_192.168.10.51,inputuniqueIPs_192.168.10.19,inputuniqueIPs_192.168.10.9,inputuniqueIPs_192.168.10.25,outputuniqueIPs_192.168.10.3,outputuniqueIPs_192.168.10.50,outputuniqueIPs_192.168.10.51,outputuniqueIPs_192.168.10.19,outputuniqueIPs_192.168.10.9,outputuniqueIPs_192.168.10.25,Time
1941,330,0,90,549,392,1733,368,0,169,476,1259,308698,84200,0,6840,214899,271052,534283,62894,0,16977,97195,174898,12,2,0,19,11,5,12,2,0,21,11,5,Wednesday July 05 2017 01:42:42
2363,280,0,65,3794,236,2130,305,0,99,3527,649,368598,34048,0,4968,3074312,110950,424422,52901,0,9756,387539,115272,13,1,0,20,77,2,13,1,0,20,77,4,Wednesday July 05 2017 01:45:42
3283,466,0,27,3096,165,3156,467,0,31,2878,256,339328,110374,0,2732,2506885,107978,450455,70961,0,3728,331658,39636,10,4,0,19,89,5,10,4,0,19,89,8,Wednesday July 05 2017 01:48:42
2385,462,0,706,711,1029,2197,528,0,1324,712,757,286013,92146,0,155066,49016,1479492,381518,86824,0,181435,57035,79908,15,2,0,22,37,8,16,2,0,23,37,9,Wednesday July 05 2017 01:51:42
3114,460,0,167,5380,673,2991,472,0,217,4674,652,356484,69788,0,27483,4823740,883121,465032,84795,0,21002,571353,64265,10,2,0,24,86,10,11,2,0,25,87,10,Wednesday July 05 2017 01:54:42
1430,454,69,208,1543,8463,1390,488,425,194,1275,9093,146879,88314,14825,157068,1542455,8833627,189845,81266,56252,31385,132298,1020573,12,1,3,21,30,106,11,3,5,21,32,106,Wednesday July 05 2017 01:57:42
2301,510,264,1234,1669,1555,2270,531,300,1292,1554,1722,220168,111928,65440,938575,1243819,1873324,292138,82943,49961,265035,158113,193656,10,6,5,67,40,30,12,6,6,67,40,31,Wednesday July 05 2017 02:00:42
651,214,231,586,548,93,649,249,204,647,623,155,82023,36506,177287,54878,132168,21498,103097,39150,24912,42864,73156,17926,12,2,4,65,39,3,12,2,5,65,39,5,Wednesday July 05 2017 02:03:42
3018,364,3355,1775,1767,45,3025,397,3234,1377,1724,90,271205,76240,2429001,2802587,823245,5644,393184,60408,377328,146471,265852,10370,14,2,32,33,48,1,15,2,33,33,48,2,Wednesday July 05 2017 02:06:42
4080,767,217,451,6049,69,3916,772,234,492,5728,127,1944193,176796,54146,545387,3682845,19796,759505,141202,24447,43004,740997,15644,18,6,8,30,128,3,19,6,8,31,128,3,Wednesday July 05 2017 02:09:42
