Ninputpackets_192.168.10.3,Ninputpackets_192.168.10.50,Ninputpackets_192.168.10.51,Ninputpackets_192.168.10.19,Ninputpackets_192.168.10.9,Ninputpackets_192.168.10.25,Noutputpackets_192.168.10.3,Noutputpackets_192.168.10.50,Noutputpackets_192.168.10.51,Noutputpackets_192.168.10.19,Noutputpackets_192.168.10.9,Noutputpackets_192.168.10.25,inputbytes_192.168.10.3,inputbytes_192.168.10.50,inputbytes_192.168.10.51,inputbytes_192.168.10.19,inputbytes_192.168.10.9,inputbytes_192.168.10.25,outputbytes_192.168.10.3,outputbytes_192.168.10.50,outputbytes_192.168.10.51,outputbytes_192.168.10.19,outputbytes_192.168.10.9,outputbytes_192.168.10.25,inputuniqueIPs_192.168.10.3,inputuniqueIPs_192.168.10.50,inputuniqueIPs_192.168.10.51,inputuniqueIPs_192.168.10.19,inputuniqueIPs_192.168.10.9,inputuniqueIPs_192.168.10.25,outputuniqueIPs_192.168.10.3,outputuniqueIPs_192.168.10.50,outputuniqueIPs_192.168.10.51,outputuniqueIPs_192.168.10.19,outputuniqueIPs_192.168.10.9,outputuniqueIPs_192.168.10.25,Time
3,0,0,0,2,0,1,1,0,0,1,0,3528,0,0,0,144,0,52,92,0,0,3113,0,2,0,0,0,2,0,1,1,0,0,1,0,Wednesday July 05 2017 01:42:43
1,1,0,0,8,0,2,0,0,0,4,0,52,51,0,0,3157,0,187,0,0,0,173,0,1,1,0,0,7,0,2,0,0,0,4,0,Wednesday July 05 2017 01:45:43
5,0,0,0,4,0,4,0,0,0,4,0,515,0,0,0,1914,0,550,0,0,0,188,0,5,0,0,0,3,0,3,0,0,0,4,0,Wednesday July 05 2017 01:48:43
3,2,0,1,1,0,0,0,0,1,2,0,182,360,0,76,52,0,0,0,0,52,360,0,2,1,0,1,1,0,0,0,0,1,1,0,Wednesday July 05 2017 01:51:43
1,0,0,0,4,2,3,0,0,0,2,1,60,0,0,0,536,2646,543,0,0,0,81,52,1,0,0,0,3,2,2,0,0,0,2,1,Wednesday July 05 2017 01:54:43
1,0,0,0,2,11,0,0,0,0,0,7,170,0,0,0,1893,14113,0,0,0,0,0,643,1,0,0,0,2,8,0,0,0,0,0,5,Wednesday July 05 2017 01:57:43
2,1,0,4,2,2,4,0,0,2,2,4,267,52,0,3285,857,1262,639,0,0,714,104,1313,2,1,0,2,2,2,3,0,0,2,2,4,Wednesday July 05 2017 02:00:43
1,0,0,0,0,0,0,1,0,1,0,0,58,0,0,0,0,0,0,40,0,52,0,0,1,0,0,0,0,0,0,1,0,1,0,0,Wednesday July 05 2017 02:03:43
1,1,2,0,2,0,4,0,5,0,0,0,166,140,1552,0,1540,0,603,0,598,0,0,0,1,1,1,0,2,0,3,0,5,0,0,0,Wednesday July 05 2017 02:06:43
3,0,0,1,6,0,3,1,2,0,6,0,3067,0,0,76,3458,0,358,98,330,0,672,0,3,0,0,0,5,0,2,1,2,0,6,0,Wednesday July 05 2017 02:09:43
3,0,1,4,6,0,1,0,2,5,3,1,210,0,593,3135,6160,0,108,0,621,410,120,52,2,0,1,3,3,0,1,0,2,4,3,1,Wednesday July 05 2017 02:12:43
1,0,1,0,1,0,1,1,1,1,0,0,58,0,88,0,86,0,171,88,52,52,0,0,1,0,1,0,1,0,1,1,1,1,0,0,Wednesday July 05 2017 02:15:43
3,0,0,1,0,0,2,1,0,2,0,1,307,0,0,52,0,0,149,52,0,112,0,52,3,0,0,1,0,0,2,1,0,2,0,1,Wednesday July 05 2017 02:18:43
4,0,0,0,0,0,4,0,2,0,0,0,291,0,0,0,0,0,559,0,114,0,0,0,3,0,0,0,0,0,3,0,2,0,0,0,Wednesday July 05 2017 02:21:43
0,1,0,1,1,1,1,1,0,0,1,1,0,64,0,52,130,408,130,408,0,0,203,64,0,1,0,1,1,1,1,1,0,0,1,1,Wednesday July 05 2017 02:24:43
4,0,0,8,1,4,4,1,0,5,2,2,296,0,0,8966,1400,4508,607,75,0,738,100,104,3,0,0,5,1,4,4,1,0,5,1,2,Wednesday July 05 2017 02:27:43
1,0,0,1,0,1,2,0,1,1,0,0,63,0,0,52,0,108,189,0,200,52,0,0,1,0,0,1,0,1,2,0,1,1,0,0,Wednesday July 05 2017 02:30:43
5,1,3,0,1,0,2,0,3,2,1,1,388,40,3022,0,82,0,212,0,156,110,41,40,3,1,3,0,1,0,2,0,3,2,1,1,Wednesday July 05 2017 02:33:43
0,2,1,0,1,0,0,1,1,3,2,0,0,260,120,0,1500,0,0,120,120,156,80,0,0,2,1,0,1,0,0,1,1,3,2,0,Wednesday July 05 2017 02:36:43
4,0,0,0,1,4,0,0,0,0,0,4,318,0,0,0,289,4674,0,0,0,0,0,820,3,0,0,0,1,4,0,0,0,0,0,3,Wednesday July 05 2017 02:39:43
2,0,0,0,0,0,0,2,1,0,0,2,153,0,0,0,0,0,0,128,40,0,0,262,2,0,0,0,0,0,0,2,1,0,0,2,Wednesday July 05 2017 02:42:43
5,2,3,3,0,0,3,0,3,3,0,2,354,244,5798,1707,0,0,485,0,156,351,0,164,3,2,3,3,0,0,2,0,3,2,0,2,Wednesday July 05 2017 02:45:43
0,9,2,0,0,0,1,3,1,1,1,1,0,759,104,0,0,0,73,1092,418,52,40,52,0,2,2,0,0,0,1,2,1,1,1,1,Wednesday July 05 2017 02:48:43
2,3,7,1,2,1,2,3,4,1,0,2,137,618,13561,52,80,1500,203,144,172,52,0,115,2,1,2,1,2,1,2,1,2,1,0,2,Wednesday July 05 2017 02:51:43
4,7,4,5,3,1,2,1,2,0,4,0,263,1543,4033,7500,1937,2848,437,52,104,0,181,0,4,1,2,1,2,1,1,0,2,0,4,0,Wednesday July 05 2017 02:54:43
1,2,0,0,1,0,0,3,0,0,0,0,64,566,0,0,40,0,0,180,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,Wednesday July 05 2017 02:57:43
10,7,1,5,2,0,8,1,1,5,0,0,819,1758,52,4700,390,0,855,60,718,267,0,0,7,1,1,3,2,0,6,1,1,5,0,0,Wednesday July 05 2017 03:00:43
0,5,10,0,0,0,1,3,7,0,0,0,0,949,7723,0,0,0,95,208,965,0,0,0,0,2,8,0,0,0,1,2,4,0,0,0,Wednesday July 05 2017 03:03:43
2,5,3,1,4,1,3,4,1,0,6,0,180,300,197,52,3346,2948,539,216,52,0,1190,0,2,1,3,1,4,1,3,1,1,0,5,0,Wednesday July 05 2017 03:06:43
3,1,1,1,0,0,0,3,1,0,0,0,600,283,1500,818,0,0,0,567,1123,0,0,0,3,1,1,1,0,0,0,2,0,0,0,0,Wednesday July 05 2017 03:09:43
2,3,0,0,0,4,8,2,2,0,0,2,122,231,0,0,0,4771,1009,112,240,0,0,92,2,2,0,0,0,4,4,2,2,0,0,2,Wednesday July 05 2017 03:12:43
3,5,2,3,0,0,5,1,3,1,0,0,216,336,1063,1674,0,0,844,108,724,40,0,0,2,1,0,3,0,0,4,1,1,1,0,0,Wednesday July 05 2017 03:15:43
2,4,4,0,1,3,4,1,3,0,0,1,141,292,5955,0,40,3040,348,2035,156,0,0,52,2,3,4,0,1,1,3,1,3,0,0,1,Wednesday July 05 2017 03:18:43
2,5,3,0,0,0,1,0,2,0,0,0,122,732,156,0,0,0,153,0,123,0,0,0,2,1,2,0,0,0,1,0,2,0,0,0,Wednesday July 05 2017 03:21:43
4,10,1,0,0,1,3,2,1,1,0,0,615,624,1500,0,0,60,318,2095,52,120,0,0,3,2,0,0,0,1,3,2,0,1,0,0,Wednesday July 05 2017 03:24:43
3,1,0,1,0,0,2,0,0,2,0,0,206,52,0,2948,0,0,274,0,0,122,0,0,2,1,0,1,0,0,2,0,0,2,0,0,Wednesday July 05 2017 03:27:43
5,4,0,3,0,0,1,3,1,2,0,0,696,240,0,1698,0,0,146,1094,83,294,0,0,4,1,0,3,0,0,1,2,0,2,0,0,Wednesday July 05 2017 03:30:43
5,7,1,2,0,0,4,2,1,0,1,0,761,484,1500,104,0,0,524,507,1025,0,40,0,4,2,1,1,0,0,3,2,1,0,1,0,Wednesday July 05 2017 03:33:43
2,2,1,0,0,0,5,0,1,0,7,0,227,112,4177,0,0,0,615,0,52,0,526,0,2,2,1,0,0,0,3,0,1,0,7,0,Wednesday July 05 2017 03:36:43
2,2,0,0,5,2,4,1,0,0,3,1,139,492,0,0,4604,1655,669,92,0,0,207,40,2,1,0,0,4,1,4,1,0,0,3,1,Wednesday July 05 2017 03:39:43
5,151,0,0,1,0,1,155,1,0,0,1,390,15045,0,0,86,0,104,298141,569,0,0,40,4,1,0,0,1,0,1,1,1,0,0,1,Wednesday July 05 2017 03:42:43
3,225,0,4,3,1,0,177,0,2,2,0,586,22874,0,6026,8880,2960,0,317879,0,112,433,0,2,1,0,3,1,1,0,3,0,2,2,0,Wednesday July 05 2017 03:45:43
1,205,0,0,3,1,2,153,0,0,1,0,99,20759,0,0,3052,1500,221,263340,0,0,40,0,1,1,0,0,2,1,2,2,0,0,1,0,Wednesday July 05 2017 03:48:43
2,209,0,3,2,1,2,163,0,1,1,0,137,20625,0,3140,1555,180,379,349259,0,71,40,0,2,1,0,2,2,1,2,2,0,1,1,0,Wednesday July 05 2017 03:51:43
