SPort,DPort,Time,Size,Flag,Dir
44394,443,1610033384.0793526,884,PA,Forward
44394,443,1610033384.0793526,40,A,Backward
44396,443,1610033384.0793526,1480,PA,Backward
44396,443,1610033384.08033,40,A,Forward
44396,443,1610033384.08033,1480,PA,Backward
44396,443,1610033384.08033,40,A,Forward
44396,443,1610033384.081305,561,PA,Backward
44396,443,1610033384.081305,40,A,Forward
44396,443,1610033384.081305,166,PA,Forward
44396,443,1610033384.0822816,40,A,Backward
44394,443,1610033384.0822816,91,PA,Backward
44394,443,1610033384.0822816,40,A,Forward
44396,443,1610033384.0832586,91,PA,Backward
44396,443,1610033384.0832586,40,A,Forward
44394,443,1610033384.0832586,310,PA,Backward
44394,443,1610033384.0842316,40,A,Forward
35536,443,1610033384.0900915,60,S,Forward
35538,443,1610033384.0900915,60,S,Forward
35536,443,1610033384.0900915,44,SA,Backward
35536,443,1610033384.091069,40,A,Forward
35536,443,1610033384.091069,557,PA,Forward
35536,443,1610033384.091069,40,A,Backward
35538,443,1610033384.0930204,44,SA,Backward
35538,443,1610033384.0939972,40,A,Forward
35538,443,1610033384.0939972,557,PA,Forward
35538,443,1610033384.0949726,40,A,Backward
35536,443,1610033384.0949726,1480,PA,Backward
35536,443,1610033384.0949726,40,A,Forward
35536,443,1610033384.0959485,1999,PA,Backward
35536,443,1610033384.0959485,40,A,Forward
35536,443,1610033384.0959485,166,PA,Forward
35536,443,1610033384.0969248,40,A,Backward
58652,443,1610033384.0998533,60,S,Forward
58654,443,1610033384.0998533,60,S,Forward
58652,443,1610033384.1018064,44,SA,Backward
58652,443,1610033384.1018064,40,R,Forward
35538,443,1610033384.1018064,2880,A,Backward
35538,443,1610033384.1027844,40,A,Forward
35538,443,1610033384.1027844,599,PA,Backward
35538,443,1610033384.1027844,40,A,Forward
35536,443,1610033384.1027844,91,PA,Backward
35536,443,1610033384.1037595,40,A,Forward
35538,443,1610033384.1037595,166,PA,Forward
35538,443,1610033384.1037595,40,A,Backward
58658,443,1610033384.1047347,60,S,Forward
58654,443,1610033384.1047347,44,SA,Backward
58654,443,1610033384.1057117,40,R,Forward
44396,443,1610033384.1057117,71,PA,Forward
44396,443,1610033384.1057117,40,FA,Forward
44396,443,1610033384.1066887,40,A,Backward
44396,443,1610033384.1066887,40,A,Backward
58660,443,1610033384.1066887,60,S,Forward
58664,443,1610033384.1076643,60,S,Forward
58666,443,1610033384.1076643,60,S,Forward
35536,443,1610033384.1096175,1239,PA,Forward
35536,443,1610033384.1096175,40,A,Backward
58658,443,1610033384.1105928,44,SA,Backward
58658,443,1610033384.111568,40,R,Forward
58668,443,1610033384.111568,60,S,Forward
35538,443,1610033384.111568,91,PA,Backward
35538,443,1610033384.1125472,40,A,Forward
58660,443,1610033384.1125472,44,SA,Backward
58660,443,1610033384.1125472,40,R,Forward
58670,443,1610033384.1135218,60,S,Forward
44396,443,1610033384.1135218,71,PA,Backward
44396,443,1610033384.1144989,40,R,Forward
44396,443,1610033384.1144989,40,FA,Backward
44396,443,1610033384.1144989,40,R,Forward
44396,443,1610033384.115476,40,RA,Backward
58664,443,1610033384.115476,44,SA,Backward
58664,443,1610033384.115476,40,R,Forward
58672,443,1610033384.1164505,60,S,Forward
58674,443,1610033384.1164505,60,S,Forward
58666,443,1610033384.1164505,44,SA,Backward
58666,443,1610033384.1164505,40,R,Forward
35536,443,1610033384.1174293,1480,PA,Backward
35536,443,1610033384.1184063,40,A,Forward
35536,443,1610033384.1184063,783,PA,Backward
35536,443,1610033384.1184063,40,A,Forward
58668,443,1610033384.120357,44,SA,Backward
58668,443,1610033384.120357,40,R,Forward
58670,443,1610033384.120357,44,SA,Backward
58670,443,1610033384.121332,40,R,Forward
58672,443,1610033384.121332,44,SA,Backward
58672,443,1610033384.121332,40,R,Forward
58674,443,1610033384.123286,44,SA,Backward
58674,443,1610033384.123286,40,R,Forward
47522,443,1610033384.1252377,40,A,Forward
47522,443,1610033384.1262138,40,A,Backward
58496,443,1610033384.1301196,60,S,Forward
58500,443,1610033384.1310954,60,S,Forward
58496,443,1610033384.1330473,44,SA,Backward
58496,443,1610033384.1330473,40,A,Forward
58496,443,1610033384.1340234,557,PA,Forward
58496,443,1610033384.1340234,40,A,Backward
58500,443,1610033384.1350002,44,SA,Backward
58500,443,1610033384.13598,40,A,Forward
58500,443,1610033384.13598,557,PA,Forward
58500,443,1610033384.13598,40,A,Backward
58496,443,1610033384.1369529,2880,A,Backward
58496,443,1610033384.13793,40,A,Forward
58496,443,1610033384.13793,100,PA,Backward
58496,443,1610033384.13793,40,A,Forward
58496,443,1610033384.1398907,964,PA,Backward
58496,443,1610033384.1398907,40,A,Forward
58496,443,1610033384.1408591,104,PA,Forward
58496,443,1610033384.1408591,405,PA,Forward
58496,443,1610033384.1408591,40,A,Backward
58496,443,1610033384.1418471,40,A,Backward
58500,443,1610033384.1457407,2880,A,Backward
58500,443,1610033384.1457407,40,A,Forward
58500,443,1610033384.1457407,1024,PA,Backward
58500,443,1610033384.1467159,40,A,Forward
58500,443,1610033384.1467159,104,PA,Forward
58500,443,1610033384.147693,40,A,Backward
48584,443,1610033384.147693,60,S,Forward
