SIP,DIP,Prot,SPort,DPort,SBytes,SBytes_av,DBytes,DBytes_av,SBytes_std,DBytes_std,SBytes_max,DBytes_max,Start,Curr,Inter_av,Inter_std,Inter_max,NIdle,tIdle,tIdle_av,tIdle_std,NSPack,NDPack,SYN1,SYN2,FIN_init,FIN1,FIN2,T_Ind,T_Counter,T_Packets_max,T_Bytes_max,T_Dur_max,B_Counter,B_Packets,B_Packets_max,B_Bytes,B_Bytes_max,B_Dur,B_Dur_max,B_Ind,B_IndP,1B_Packets,1B_Bytes,1B_Dur,1B_Ind,Perc_B
35.166.234.151,192.168.1.100,TCP,443,33234,151,50.333333333333336,120,40.0,213.5555555555552,0.0,71,40,1533829975.0757492,0.001825571060180664,0.00030426184336344403,1.932027121003759e-08,0.00041556358337402344,0,0,0,0,3,3,False,False,2,True,True,True,1,6,280,0.001825571060180664,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35.164.154.8,192.168.1.100,TCP,443,43198,151,50.333333333333336,120,40.0,213.5555555555552,0.0,71,40,1533831479.3869448,0.004651784896850586,0.000775297482808431,1.2849944902705424e-06,0.003294229507446289,0,0,0,0,3,3,False,False,2,True,True,True,1,6,280,0.004651784896850586,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,66.175.41.113,TCP,48538,443,855,71.25,5281,480.09090909090907,3726.854166666666,763143.3553719008,238,2880,1533831479.348099,0.04668688774108887,0.0020298646843951683,1.1010065371368178e-05,0.011422872543334961,0,0,0,0,12,11,True,True,1,True,True,True,1,23,8591,0.04668688774108887,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,216.251.32.98,TCP,33064,80,1271,127.1,8985,898.5,29302.090000000004,1359880.65,522,3071,1533831479.331866,0.06625032424926758,0.003312516212463379,0.00010458617954384408,0.04682445526123047,0,0,0,0,10,10,True,True,2,True,True,True,1,20,13390,0.06625032424926758,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,216.251.32.98,TCP,33068,80,721,120.16666666666667,2790,558.0,29060.138888888883,1069158.4,501,2626,1533831479.3363574,0.06387472152709961,0.005806792866099964,0.0001624725897640891,0.04546976089477539,0,0,0,0,6,5,True,True,2,True,True,True,1,11,3695,0.06387472152709961,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,216.251.32.98,TCP,33066,80,721,120.16666666666667,2364,394.0,29060.138888888883,623753.3333333334,501,2160,1533831479.3359995,0.06632637977600098,0.005527198314666748,0.00014452032085543465,0.04454755783081055,0,0,0,0,6,6,True,True,2,True,True,True,1,12,3269,0.06632637977600098,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,216.251.32.98,TCP,33072,80,843,93.66666666666667,11176,1241.7777777777778,20983.11111111111,3382838.8395061726,503,5720,1533831479.3373034,0.06597399711608887,0.003665222062004937,6.80103864250076e-05,0.03663992881774902,0,0,0,0,9,9,True,True,2,True,True,True,1,18,20495,0.06597399711608887,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,216.251.32.98,TCP,33070,80,723,120.5,2050,341.6666666666667,29314.583333333336,452605.8888888889,503,1846,1533831479.3367107,0.0674445629119873,0.0056203802426656084,0.00015544782175859318,0.04644036293029785,0,0,0,0,6,6,True,True,2,True,True,True,1,12,2957,0.0674445629119873,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,216.251.32.98,TCP,33074,80,1508,107.71428571428571,51145,3653.214285714286,26200.0612244898,16675370.73979592,505,12820,1533831479.337664,0.06740236282348633,0.0024072272436959402,2.659078973503794e-05,0.026263713836669922,0,0,0,0,14,14,True,True,2,True,True,True,1,28,92137,0.06740236282348633,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,66.175.41.113,TCP,48536,443,1712,71.33333333333333,42695,1856.304347826087,7291.972222222223,5477728.820415879,417,10176,1533831479.3395083,0.06676673889160156,0.0014205689125872673,9.467029158923742e-06,0.016313791275024414,0,0,0,0,24,23,True,True,2,True,True,True,1,47,85284,0.06676673889160156,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,66.175.41.113,TCP,60992,80,1016,169.33333333333334,854,142.33333333333334,78595.55555555555,51547.22222222222,796,650,1533831479.389368,0.01984715461730957,0.0016539295514424641,1.838753242072105e-05,0.015834569931030273,0,0,0,0,6,6,True,True,2,True,True,True,1,12,2054,0.01984715461730957,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,54.192.35.117,TCP,45278,443,311,44.42857142857143,280,40.0,117.67346938775472,0.0,71,40,1533831479.3958416,0.03463101387023926,0.002473643847874233,1.4109648817879485e-05,0.014800071716308594,0,0,0,0,7,7,False,False,1,True,True,True,1,14,942,0.03463101387023926,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,88.221.87.161,TCP,58306,80,852,85.2,1233,137.0,16659.36,74499.55555555556,472,909,1533831479.3709087,0.06014895439147949,0.003165734441656815,5.494478491930944e-05,0.03381800651550293,0,0,0,0,10,9,True,True,1,True,True,True,1,19,2549,0.06014895439147949,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,72.247.176.50,TCP,36870,80,280,40.0,280,40.0,0.0,0.0,40,40,1533831479.3277721,0.10404586791992188,0.0074318477085658485,0.00029762388808936816,0.06801462173461914,0,0,0,0,7,7,False,False,1,True,True,True,1,14,960,0.10404586791992188,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,93.184.220.29,TCP,55576,80,280,40.0,280,40.0,0.0,0.0,40,40,1533831479.3881984,0.044189453125,0.0031563895089285715,2.2732289972291437e-05,0.018972396850585938,0,0,0,0,7,7,False,False,1,True,True,True,1,14,960,0.044189453125,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,216.58.206.142,TCP,38154,80,240,40.0,240,40.0,0.0,0.0,40,40,1533831479.3951344,0.03784489631652832,0.0031537413597106934,1.6245420625911795e-05,0.014618396759033203,0,0,0,0,6,6,False,False,1,True,True,True,1,12,800,0.03784489631652832,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,216.58.206.142,TCP,54670,443,237,59.25,160,40.0,398.6875,0.0,86,40,1533831479.422091,0.011531352996826172,0.0014414191246032715,1.6828817415159847e-06,0.003782033920288086,0,0,0,0,4,4,False,False,1,True,True,True,1,8,462,0.011531352996826172,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,216.58.212.110,TCP,50214,443,237,59.25,160,40.0,398.6875,0.0,86,40,1533831479.4217799,0.012416839599609375,0.0015521049499511719,3.878503548548906e-06,0.006101369857788086,0,0,0,0,4,4,False,False,1,True,True,True,1,8,462,0.012416839599609375,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66.175.41.113,192.168.1.100,TCP,443,48536,40,40.0,0,0,0.0,0,40,0,1533831479.4065971,0.0,0.0,0.0,0,0,0,0,0,1,0,False,False,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,216.251.32.98,TCP,33068,80,40,40.0,40,40.0,0.0,0.0,40,40,1533831479.400573,0.0008795261383056641,0.00043976306915283203,1.9339155699071853e-07,0.0008795261383056641,0,0,0,0,1,1,False,False,0,False,False,True,1,2,40,0.0008795261383056641,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,35.163.65.200,TCP,56080,443,391,43.44444444444444,391,43.44444444444444,94.91358024691363,94.91358024691363,71,71,1533831479.3925397,0.0428767204284668,0.002382040023803711,1.5204277278573703e-05,0.016720056533813477,0,0,0,0,9,9,False,False,1,True,True,True,1,18,1293,0.0428767204284668,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.168.1.100,10.0.2.3,UDP,41122,53,126,63.0,366,183.0,0.0,144.0,63,195,1533831479.3683014,0.0017685890197753906,0.00044214725494384766,9.502862496901798e-08,0.0008709430694580078,0,0,0,0,2,2,False,False,0,False,False,True,1,3,234,0.0008976459503173828,0,0,0,0,0,0,0,0,0,0,0,0,1,0
