SIP,DIP,Prot,SPort,DPort,SBytes,SBytes_av,DBytes,DBytes_av,SBytes_std,DBytes_std,SBytes_max,DBytes_max,Start,Curr,Inter_av,Inter_std,Inter_max,NIdle,tIdle,tIdle_av,tIdle_std,NSPack,NDPack,SYN1,SYN2,FIN_init,FIN1,FIN2,T_Ind,T_Counter,T_Packets_max,T_Bytes_max,T_Dur_max,B_Counter,B_Packets,B_Packets_max,B_Bytes,B_Bytes_max,B_Dur,B_Dur_max,B_Ind,B_IndP,1B_Packets,1B_Bytes,1B_Dur,1B_Ind,Perc_B
192.51.127.16,131.243.140.243,TCP,44943,80,258,36.857142857142854,4546,757.6666666666666,8150.693877551021,496333.888888889,258,1460,0.060221,0.146287,0.011252846153846153,0.00032383262489940834,0.047703999999999996,0,0,0,0,7,6,True,True,2,True,True,True,1,13,7724,0.146287,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.113,218.105.151.125,TCP,2190,80,397,22.055555555555557,39909,1287.3870967741937,8269.608024691357,191841.33402705472,397,1460,0.971523,0.3981180000000001,0.008124857142857144,0.00026474731159183704,0.04719300000000004,0,0,0,0,18,31,True,True,2,True,True,True,1,49,58753,0.3981180000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.192,204.116.36.209,TCP,1196,80,606,121.2,426,106.5,58757.759999999995,34026.75,606,426,1.39176,0.0767049999999998,0.008522777777777756,9.008905928395047e-05,0.02384800000000009,0,0,0,0,5,4,True,True,2,True,True,True,1,9,1458,0.0767049999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.192,204.116.36.209,TCP,1195,80,690,138.0,426,85.2,76176.0,29036.159999999996,690,426,0.850842,0.883091,0.0883091,0.040731145862289986,0.6767129999999999,0,0,0,0,5,5,True,True,2,True,True,True,1,10,1116,0.883091,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128.3.147.198,131.243.140.156,TCP,3511,389,61,20.333333333333332,0,0.0,826.8888888888889,0.0,61,0,1.751528,0.0015199999999999658,0.0003039999999999932,8.63140000000166e-08,0.0007580000000000364,0,0,0,0,3,2,False,False,1,True,True,True,1,5,0,0.0015199999999999658,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128.3.147.198,131.243.140.156,TCP,3513,389,61,20.333333333333332,0,0.0,826.8888888888889,0.0,61,0,1.751903,0.002134999999999998,0.0004269999999999996,2.1941959999998713e-07,0.0010129999999999306,0,0,0,0,3,2,False,False,1,True,True,True,1,5,0,0.002134999999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.83,57.201.130.227,TCP,1416,80,377,75.4,232,58.0,22740.64,10092.0,377,232,2.362794,0.1607829999999999,0.017864777777777768,0.0010145965357283987,0.07794200000000018,0,0,0,0,5,4,True,True,1,True,True,True,1,9,609,0.1607829999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.83,57.201.130.227,TCP,1415,80,320,53.333333333333336,1727,287.8333333333333,14222.222222222223,284300.13888888893,320,1460,2.357048,0.35527500000000023,0.029606250000000018,0.0016469906236875015,0.11055700000000002,0,0,0,0,6,6,True,True,2,True,True,True,2,5,320,0.1563920000000003,1,4,4,1727,1727,0.11057099999999975,0.11057099999999975,2.0,2.0,4,1727,0.11057099999999975,2,0.3333333333333333
131.243.142.83,57.201.130.227,TCP,1417,80,331,15.045454545454545,51956,1332.2051282051282,4753.679752066116,153796.88099934254,331,1460,2.364175,0.662455,0.010859918032786886,0.0006556785876162303,0.07979700000000012,0,0,0,0,22,39,True,True,2,True,True,True,1,61,76975,0.662455,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.140.252,128.3.161.197,TCP,1323,389,61,20.333333333333332,0,0.0,826.8888888888889,0.0,61,0,3.308354,0.001494999999999802,0.00029899999999996043,6.338439999992071e-08,0.0007659999999996003,0,0,0,0,3,2,False,False,1,True,True,True,1,5,0,0.001494999999999802,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.140.252,128.3.161.197,TCP,1324,389,61,20.333333333333332,0,0.0,826.8888888888889,0.0,61,0,3.308719,0.0011350000000001081,0.00022700000000002162,4.9680799999998335e-08,0.0006479999999999819,0,0,0,0,3,2,False,False,1,True,True,True,1,5,0,0.0011350000000001081,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.113,56.170.198.110,TCP,2188,80,413,45.888888888888886,10407,867.25,16846.32098765432,494224.85416666674,413,1460,0.745653,4.251413,0.2024482380952381,0.3330299023005623,2.0744949999999998,0,0,0,0,9,12,True,True,2,True,True,True,1,21,13740,4.251413,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.113,57.200.30.38,TCP,2187,80,395,56.42857142857143,3666,611.0,19105.102040816324,429965.0,395,1460,0.73491,4.283649,0.3295114615384615,1.0176266786331714,3.8204329999999995,0,0,0,0,7,6,True,True,1,True,True,True,1,13,4807,4.283649,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.143.11,218.104.21.33,TCP,1650,80,490,70.0,5706,713.25,29400.0,447798.9375,490,1380,6.029438,0.037214999999999776,0.002480999999999985,1.9496105333333508e-05,0.018364000000000047,0,0,0,0,7,8,True,True,2,True,True,True,1,15,7576,0.037214999999999776,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.141.25,131.243.160.132,TCP,1384,1521,1953,88.77272727272727,1127,53.666666666666664,13444.35743801653,18750.984126984127,435,654,5.900278,0.18687399999999954,0.004345906976744175,0.00017994529543320574,0.06844499999999965,0,0,0,0,22,21,True,True,1,True,True,True,1,43,5911,0.18687399999999954,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.143.11,218.104.21.124,TCP,1651,80,396,66.0,210,42.0,21780.0,7056.0,396,210,6.09065,0.010855999999999533,0.0009869090909090485,1.2799931735536033e-06,0.002990999999999744,0,0,0,0,6,5,True,True,2,True,True,True,1,11,606,0.010855999999999533,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.143.11,218.104.21.124,TCP,1652,80,395,79.0,209,41.8,24964.0,6988.960000000001,395,209,6.095648,0.011230000000000295,0.0011230000000000296,1.361655600000127e-06,0.0032449999999997203,0,0,0,0,5,5,True,True,2,True,True,True,1,10,604,0.011230000000000295,0,0,0,0,0,0,0,0,0,0,0,0,1,0
206.61.154.127,131.243.140.243,TCP,56835,80,1321,146.77777777777777,6176,617.6,43095.50617283951,281477.43999999994,446,1380,3.044774,3.1468200000000004,0.1656221052631579,0.30050185168556776,2.4778809999999996,0,0,0,0,9,10,True,True,2,True,True,True,2,11,7179,0.5964910000000003,1,5,5,3141,3141,2.4826149999999996,2.4826149999999996,2.0,2.0,5,3141,2.4826149999999996,2,0.2631578947368421
131.243.141.204,208.204.248.210,TCP,1334,80,1178,73.625,29644,1235.1666666666667,37944.484375,194527.72222222202,589,1460,2.026624,4.820311,0.12050777500000001,0.45723925462522436,4.337235,1,4.337235,4.337235,18.811607445224997,16,24,False,False,2,True,True,False,1,2,1460,0.09430400000000017,4,38,12,28809,14809,4.53613,4.523122,1.5,1.605263157894737,11,14809,0.0057549999999997326,2,0.95
131.243.141.160,150.110.114.135,TCP,3077,80,462,77.0,1769,294.8333333333333,29645.0,284253.47222222225,462,1460,7.522154,0.04733900000000002,0.003944916666666669,4.0138774243056035e-05,0.023480000000000167,0,0,0,0,6,6,True,True,2,True,True,True,2,5,462,0.011986000000000274,1,4,4,1769,1769,0.023494000000000348,0.023494000000000348,2.0,2.0,4,1769,0.023494000000000348,2,0.3333333333333333
131.243.95.153,131.243.140.156,TCP,2793,445,299,33.22222222222222,281,35.125,320.172839506173,179.109375,45,43,8.024961,0.012992000000000559,0.0007642352941176799,1.0810641522492425e-07,0.0013569999999987203,0,0,0,0,9,8,False,False,1,True,True,True,1,17,1070,0.012992000000000559,0,0,0,0,0,0,0,0,0,0,0,0,1,0
206.61.154.127,131.243.140.243,TCP,56933,80,2973,185.8125,9601,685.7857142857143,34631.27734375,272869.8826530611,381,1380,6.179958,2.168449999999999,0.07228166666666663,0.047736078797422254,1.2122740000000007,0,0,0,0,16,14,True,True,2,True,True,True,1,30,21687,2.168449999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.143.11,218.104.21.33,TCP,1653,80,295,42.142857142857146,5620,702.5,10656.122448979591,459943.75,295,1380,9.081209,0.06082100000000068,0.004054733333333379,9.993438086222248e-05,0.041100000000000136,0,0,0,0,7,8,True,True,2,True,True,True,1,15,7295,0.06082100000000068,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.83,57.201.130.227,TCP,1418,80,487,81.16666666666667,2702,450.3333333333333,32940.13888888888,409560.5555555555,487,1460,9.145791,0.43936100000000167,0.03661341666666681,0.0030214680919097253,0.18426200000000037,0,0,0,0,6,6,True,True,2,True,True,True,2,5,487,0.15539300000000011,1,4,4,2702,2702,0.1852740000000015,0.1852740000000015,2.0,2.0,4,2702,0.1852740000000015,2,0.3333333333333333
131.243.140.85,128.3.161.197,TCP,1237,445,82,20.5,82,27.333333333333332,422.25,376.2222222222222,43,43,9.583151,0.003769999999999385,0.0005385714285713407,1.4744453061232697e-07,0.0012840000000000629,0,0,0,0,4,3,False,False,1,True,True,True,1,7,242,0.003769999999999385,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.83,57.201.130.227,TCP,1420,80,377,75.4,232,46.4,22740.64,8611.84,377,232,9.518939,0.23534900000000114,0.023534900000000115,0.0012302162972900083,0.07781600000000033,0,0,0,0,5,5,True,True,2,True,True,True,1,10,609,0.23534900000000114,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.83,57.201.130.227,TCP,1419,80,320,53.333333333333336,1727,287.8333333333333,14222.222222222223,284300.13888888893,320,1460,9.517338,0.35562399999999883,0.029635333333333236,0.0016529667780555593,0.11043900000000129,0,0,0,0,6,6,True,True,2,True,True,True,2,5,320,0.1568689999999986,1,4,4,1727,1727,0.11068600000000117,0.11068600000000117,2.0,2.0,4,1727,0.11068600000000117,2,0.3333333333333333
131.243.142.83,57.201.130.227,TCP,1421,80,383,76.6,241,48.2,23470.239999999998,9292.960000000001,383,241,9.830503,0.23608999999999902,0.0236089999999999,0.0012437505635999836,0.07856499999999933,0,0,0,0,5,5,True,True,2,True,True,True,1,10,624,0.23608999999999902,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.83,57.201.130.227,TCP,1423,80,389,77.8,241,48.2,24211.36,9292.960000000001,389,241,9.83213,0.24476600000000026,0.024476600000000025,0.0012165079426399946,0.07887299999999975,0,0,0,0,5,5,True,True,2,True,True,True,1,10,630,0.24476600000000026,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.83,57.201.130.227,TCP,1422,80,334,47.714285714285715,8734,970.4444444444445,13659.91836734694,470943.80246913584,334,1460,9.831375,0.3241639999999997,0.02026024999999998,0.001113651252937513,0.0810139999999997,0,0,0,0,7,9,True,True,2,True,True,True,1,16,11962,0.3241639999999997,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.83,57.201.130.227,TCP,1424,80,334,47.714285714285715,8587,954.1111111111111,13659.91836734694,457935.20987654326,334,1460,9.838261,0.3285210000000003,0.020532562500000018,0.0010941499934961016,0.07992000000000132,0,0,0,0,7,9,True,True,2,True,True,True,1,16,11668,0.3285210000000003,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.83,57.201.130.227,TCP,1425,80,334,47.714285714285715,7963,884.7777777777778,13659.91836734694,450231.50617283944,334,1460,9.994536,0.34051799999999943,0.021282374999999965,0.0011346871297343631,0.08205500000000043,0,0,0,0,7,9,True,True,2,True,True,True,2,9,4714,0.25869499999999945,1,4,4,5043,5043,0.0023730000000004026,0.0023730000000004026,2.0,2.0,4,5043,0.0023730000000004026,2,0.25
131.243.142.83,57.201.130.227,TCP,1427,80,334,47.714285714285715,8127,903.0,13659.91836734694,444805.33333333326,334,1460,10.089354,0.32390400000000064,0.02024400000000004,0.0010961794268750007,0.07906299999999966,0,0,0,0,7,9,True,True,2,True,True,True,2,9,4714,0.24270199999999953,1,4,4,5207,5207,0.002624000000000848,0.002624000000000848,2.0,2.0,4,5207,0.002624000000000848,2,0.25
131.243.142.83,57.201.130.227,TCP,1426,80,334,41.75,8978,897.8,12201.4375,477667.55999999994,334,1460,9.999549,0.422091,0.023449499999999998,0.0011889664569166717,0.0816820000000007,0,0,0,0,8,10,True,True,2,True,True,True,1,18,12232,0.422091,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.140.103,208.122.26.186,TCP,2158,80,443,88.6,398,99.5,31399.840000000004,29700.75,443,398,10.402282,0.02521600000000035,0.0028017777777778166,1.1056252839506261e-05,0.008487999999999829,0,0,0,0,5,4,True,True,2,True,True,True,1,9,1239,0.02521600000000035,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.83,57.201.130.227,TCP,1428,80,334,47.714285714285715,7757,861.8888888888889,13659.91836734694,464575.20987654326,334,1460,10.121329,0.32253500000000024,0.020158437500000015,0.0010922969588710995,0.0784470000000006,0,0,0,0,7,9,True,True,2,True,True,True,2,9,4714,0.24046700000000065,1,4,4,4837,4837,0.002643000000000839,0.002643000000000839,2.0,2.0,4,4837,0.002643000000000839,2,0.25
