Date first seen          Duration Proto      Src IP Addr      Src IP Addr:Port       Dst IP Addr      Dst IP Addr:Port   Packets    Bytes Flows
2018-05-11 13:23:46.923,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:47792,   217.114.59.66,   217.114.59.66:123  ,       1,      76,    1
2018-05-11 13:23:46.873,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:43820,        10.0.2.3,        10.0.2.3:53   ,       2,     134,    1
2018-05-11 13:23:46.932,    0.000,UDP  ,   217.114.59.66,   217.114.59.66:123  ,   192.168.1.100,   192.168.1.100:47792,       1,      76,    1
2018-05-11 13:23:46.903,    0.002,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:43820,       2,     878,    1
2018-05-11 13:24:19.129,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:57984,   217.114.59.66,   217.114.59.66:123  ,       1,      76,    1
2018-05-11 13:24:19.138,    0.000,UDP  ,   217.114.59.66,   217.114.59.66:123  ,   192.168.1.100,   192.168.1.100:57984,       1,      76,    1
2018-05-11 13:25:23.388,    0.000,UDP  ,   217.114.59.66,   217.114.59.66:123  ,   192.168.1.100,   192.168.1.100:59459,       1,      76,    1
2018-05-11 13:25:23.378,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:59459,   217.114.59.66,   217.114.59.66:123  ,       1,      76,    1
2018-05-11 13:27:31.619,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:47647,   217.114.59.66,   217.114.59.66:123  ,       1,      76,    1
2018-05-11 13:27:31.627,    0.000,UDP  ,   217.114.59.66,   217.114.59.66:123  ,   192.168.1.100,   192.168.1.100:47647,       1,      76,    1
2018-05-11 13:28:22.471,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:34393,        10.0.2.3,        10.0.2.3:53   ,       1,      64,    1
2018-05-11 13:28:22.473,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:60136,        10.0.2.3,        10.0.2.3:53   ,       1,      51,    1
2018-05-11 13:28:22.490,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:60136,       1,     126,    1
2018-05-11 13:28:22.472,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:34393,       1,     116,    1
2018-05-11 13:30:22.546,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:57650,        10.0.2.3,        10.0.2.3:53   ,       2,     132,    1
2018-05-11 13:30:22.770,    0.043,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:57650,       2,     407,    1
2018-05-11 13:30:22.972,    2.156,TCP  , 209.132.180.180, 209.132.180.180:443  ,   192.168.1.100,   192.168.1.100:50306,     113,  449836,    1
2018-05-11 13:30:26.138,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:42677,        10.0.2.3,        10.0.2.3:53   ,       2,     120,    1
2018-05-11 13:30:26.241,    2.084,TCP  ,   192.168.1.100,   192.168.1.100:35180,       8.43.85.9,       8.43.85.9:443  ,      29,    1773,    1
2018-05-11 13:30:22.813,    2.316,TCP  ,   192.168.1.100,   192.168.1.100:50306, 209.132.180.180, 209.132.180.180:443  ,      50,    2594,    1
2018-05-11 13:30:26.343,    1.982,TCP  ,       8.43.85.9,       8.43.85.9:443  ,   192.168.1.100,   192.168.1.100:35180,      36,  123209,    1
2018-05-11 13:30:26.239,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:42677,       2,     339,    1
2018-05-11 13:31:49.262,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:55867,        10.0.2.3,        10.0.2.3:53   ,       2,     128,    1
2018-05-11 13:31:49.472,    0.024,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:56597,       2,     220,    1
2018-05-11 13:31:47.182,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:50117,       2,     692,    1
2018-05-11 13:31:48.200,    0.028,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:50089,       2,     543,    1
2018-05-11 13:31:49.545,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:35821,       2,     224,    1
2018-05-11 13:31:49.297,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:49980,       2,     395,    1
2018-05-11 13:31:46.202,    0.014,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:54622,       2,     692,    1
