Date first seen          Duration Proto      Src IP Addr      Src IP Addr:Port       Dst IP Addr      Dst IP Addr:Port   Packets    Bytes Flows
2018-05-19 12:26:38.468,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:52317,       1,     126,    1
2018-05-19 12:26:38.467,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:52317,        10.0.2.3,        10.0.2.3:53   ,       1,      51,    1
2018-05-19 12:26:55.582,    0.023,UDP  ,   192.168.1.100,   192.168.1.100:8612 ,   192.168.1.255,   192.168.1.255:8610 ,       2,      88,    1
2018-05-19 12:26:55.582,    0.023,UDP  ,   192.168.1.100,   192.168.1.100:8612 ,   192.168.1.255,   192.168.1.255:8612 ,       2,      88,    1
2018-05-19 12:26:56.401,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:58158, 255.255.255.255, 255.255.255.255:3289 ,       1,      43,    1
2018-05-19 12:26:57.579,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:56392, 255.255.255.255, 255.255.255.255:1124 ,       1,      65,    1
2018-05-19 13:05:01.845,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:50151,        10.0.2.3,        10.0.2.3:53   ,       2,     134,    1
2018-05-19 13:05:02.021,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:50151,       2,     627,    1
2018-05-19 13:05:02.029,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:51024,  129.250.35.250,  129.250.35.250:123  ,       1,      76,    1
2018-05-19 13:05:02.042,    0.000,UDP  ,  129.250.35.250,  129.250.35.250:123  ,   192.168.1.100,   192.168.1.100:51024,       1,      76,    1
2018-05-19 13:05:34.047,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:59288,  129.250.35.250,  129.250.35.250:123  ,       1,      76,    1
2018-05-19 13:05:34.061,    0.000,UDP  ,  129.250.35.250,  129.250.35.250:123  ,   192.168.1.100,   192.168.1.100:59288,       1,      76,    1
2018-05-19 13:06:38.305,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:58636,  129.250.35.250,  129.250.35.250:123  ,       1,      76,    1
2018-05-19 13:06:38.318,    0.000,UDP  ,  129.250.35.250,  129.250.35.250:123  ,   192.168.1.100,   192.168.1.100:58636,       1,      76,    1
2018-05-19 13:08:46.567,    0.000,UDP  ,  129.250.35.250,  129.250.35.250:123  ,   192.168.1.100,   192.168.1.100:50472,       1,      76,    1
2018-05-19 13:08:46.554,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:50472,  129.250.35.250,  129.250.35.250:123  ,       1,      76,    1
2018-05-19 13:13:02.805,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:38804,  129.250.35.250,  129.250.35.250:123  ,       1,      76,    1
2018-05-19 13:13:02.818,    0.000,UDP  ,  129.250.35.250,  129.250.35.250:123  ,   192.168.1.100,   192.168.1.100:38804,       1,      76,    1
2018-05-19 13:21:35.045,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:50650,  129.250.35.250,  129.250.35.250:123  ,       1,      76,    1
2018-05-19 13:21:35.058,    0.000,UDP  ,  129.250.35.250,  129.250.35.250:123  ,   192.168.1.100,   192.168.1.100:50650,       1,      76,    1
2018-05-19 13:38:39.309,    0.000,UDP  ,  129.250.35.250,  129.250.35.250:123  ,   192.168.1.100,   192.168.1.100:55602,       1,      76,    1
2018-05-19 13:38:39.295,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:55602,  129.250.35.250,  129.250.35.250:123  ,       1,      76,    1
2018-05-19 14:12:47.548,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:47131,  129.250.35.250,  129.250.35.250:123  ,       1,      76,    1
2018-05-19 14:12:47.561,    0.000,UDP  ,  129.250.35.250,  129.250.35.250:123  ,   192.168.1.100,   192.168.1.100:47131,       1,      76,    1
2018-05-19 14:37:56.020,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:42420,       2,     692,    1
2018-05-19 14:37:56.019,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:42420,        10.0.2.3,        10.0.2.3:53   ,       2,     140,    1
2018-05-19 14:37:57.052,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:57546,       2,     692,    1
2018-05-19 14:37:59.760,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:39846,        10.0.2.3,        10.0.2.3:53   ,       2,     150,    1
2018-05-19 14:37:59.761,    0.020,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:39846,       2,     760,    1
2018-05-19 14:37:59.564,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:49403,       2,     720,    1
2018-05-19 14:38:01.005,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:56278,       2,     760,    1
2018-05-19 14:38:01.003,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:56278,        10.0.2.3,        10.0.2.3:53   ,       2,     150,    1
2018-05-19 14:37:59.447,    0.023,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:58619,       2,     716,    1
2018-05-19 14:37:59.445,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:58619,        10.0.2.3,        10.0.2.3:53   ,       2,     138,    1
2018-05-19 14:37:57.051,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:57546,        10.0.2.3,        10.0.2.3:53   ,       2,     140,    1
2018-05-19 14:37:59.544,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:49403,        10.0.2.3,        10.0.2.3:53   ,       2,     118,    1
2018-05-19 14:38:02.803,    0.573,TCP  ,   192.168.1.100,   192.168.1.100:57138,  35.166.234.151,  35.166.234.151:443  ,       7,     626,    1
2018-05-19 14:38:03.192,    0.000,TCP  ,   93.184.220.29,   93.184.220.29:80   ,   192.168.1.100,   192.168.1.100:42698,       1,      44,    1
2018-05-19 14:38:02.989,    0.011,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:44419,       2,     395,    1
2018-05-19 14:38:06.318,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:46406,       2,     676,    1
2018-05-19 14:38:06.946,    0.020,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:33767,       2,     676,    1
2018-05-19 14:38:02.968,    0.364,TCP  ,  35.166.234.151,  35.166.234.151:443  ,   192.168.1.100,   192.168.1.100:57138,       6,    4012,    1
2018-05-19 14:38:02.765,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:50235,        10.0.2.3,        10.0.2.3:53   ,       2,     138,    1
2018-05-19 14:38:06.968,    0.014,TCP  ,   192.168.1.100,   192.168.1.100:59996,  216.58.198.227,  216.58.198.227:443  ,       3,     332,    1
2018-05-19 14:38:06.982,    0.000,TCP  ,  216.58.198.227,  216.58.198.227:443  ,   192.168.1.100,   192.168.1.100:59996,       2,      84,    1
2018-05-19 14:38:02.633,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:49237,       2,     590,    1
2018-05-19 14:38:02.984,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:44419,        10.0.2.3,        10.0.2.3:53   ,       2,     126,    1
2018-05-19 14:38:05.966,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:42512,       2,     660,    1
2018-05-19 14:38:06.317,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:46406,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
2018-05-19 14:38:05.965,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:42512,        10.0.2.3,        10.0.2.3:53   ,       2,     120,    1
2018-05-19 14:38:02.632,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:49237,        10.0.2.3,        10.0.2.3:53   ,       2,     146,    1
2018-05-19 14:38:02.802,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:50235,       2,     650,    1
2018-05-19 14:38:06.945,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:33767,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
2018-05-19 14:38:03.178,    0.014,TCP  ,   192.168.1.100,   192.168.1.100:42698,   93.184.220.29,   93.184.220.29:80   ,       2,     100,    1
2018-05-19 14:38:06.494,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:52130,        10.0.2.3,        10.0.2.3:53   ,       2,     128,    1
2018-05-19 14:38:08.574,    0.000,TCP  ,  216.58.213.106,  216.58.213.106:443  ,   192.168.1.100,   192.168.1.100:38114,       1,      44,    1
2018-05-19 14:38:08.561,    0.013,TCP  ,   192.168.1.100,   192.168.1.100:38114,  216.58.213.106,  216.58.213.106:443  ,       2,     100,    1
2018-05-19 14:38:08.537,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:40401,        10.0.2.3,        10.0.2.3:53   ,       2,     132,    1
2018-05-19 14:38:10.090,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:58563,        10.0.2.3,        10.0.2.3:53   ,       2,     130,    1
2018-05-19 14:38:08.524,    0.022,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:60578,       2,     768,    1
2018-05-19 14:38:08.561,    0.000,TCP  ,   192.168.1.100,   192.168.1.100:38116,  216.58.213.106,  216.58.213.106:443  ,       1,      60,    1
2018-05-19 14:38:08.538,    0.022,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:40401,       2,     744,    1
2018-05-19 14:38:08.574,    0.000,TCP  ,  216.58.213.106,  216.58.213.106:443  ,   192.168.1.100,   192.168.1.100:38116,       1,      44,    1
2018-05-19 14:38:08.523,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:60578,        10.0.2.3,        10.0.2.3:53   ,       2,     140,    1
2018-05-19 14:38:10.091,    0.023,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:58563,       2,     670,    1
2018-05-19 14:38:13.918,    0.014,TCP  ,   192.168.1.100,   192.168.1.100:51164,  216.58.198.238,  216.58.198.238:80   ,       2,      80,    1
2018-05-19 14:38:15.506,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:34300,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
2018-05-19 14:38:13.918,    0.014,TCP  ,  216.58.198.238,  216.58.198.238:80   ,   192.168.1.100,   192.168.1.100:51164,       2,      80,    1
2018-05-19 14:38:15.513,    0.063,TCP  ,   192.168.1.100,   192.168.1.100:37070,  216.58.213.110,  216.58.213.110:443  ,      10,     916,    1
2018-05-19 14:38:15.527,    0.049,TCP  ,  216.58.213.110,  216.58.213.110:443  ,   192.168.1.100,   192.168.1.100:37070,      10,    4079,    1
2018-05-19 14:38:15.511,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:34300,       2,     662,    1
2018-05-19 14:37:59.566,   20.454,TCP  ,   192.168.1.100,   192.168.1.100:51110,  216.58.198.238,  216.58.198.238:80   ,       8,    1194,    1
2018-05-19 14:37:59.580,   20.440,TCP  ,  216.58.198.238,  216.58.198.238:80   ,   192.168.1.100,   192.168.1.100:51110,       7,    2402,    1
2018-05-19 14:38:25.924,    0.334,TCP  ,    52.38.164.48,    52.38.164.48:443  ,   192.168.1.100,   192.168.1.100:52336,       6,    3370,    1
2018-05-19 14:38:22.365,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:37713,        10.0.2.3,        10.0.2.3:53   ,       2,     122,    1
2018-05-19 14:38:26.439,    0.013,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:47913,       2,     594,    1
2018-05-19 14:38:25.747,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:60699,        10.0.2.3,        10.0.2.3:53   ,       2,     166,    1
2018-05-19 14:38:02.969,   20.541,TCP  ,  35.166.234.151,  35.166.234.151:443  ,   192.168.1.100,   192.168.1.100:57140,      10,    5307,    1
2018-05-19 14:38:02.799,   20.711,TCP  ,    52.35.21.241,    52.35.21.241:443  ,   192.168.1.100,   192.168.1.100:59358,      10,    3769,    1
2018-05-19 14:38:22.042,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:34098,       2,     670,    1
