Date first seen          Duration Proto      Src IP Addr      Src IP Addr:Port       Dst IP Addr      Dst IP Addr:Port   Packets    Bytes Flows
2018-05-10 13:41:13.330,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:48142,       2,     650,    1
2018-05-10 13:41:14.772,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:47994,        10.0.2.3,        10.0.2.3:53   ,       2,     118,    1
2018-05-10 13:41:14.773,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:47994,       2,     720,    1
2018-05-10 13:41:13.292,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:48142,        10.0.2.3,        10.0.2.3:53   ,       2,     138,    1
2018-05-10 13:41:13.755,    0.019,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:45455,       2,     395,    1
2018-05-10 13:41:14.671,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:42025,        10.0.2.3,        10.0.2.3:53   ,       2,     138,    1
2018-05-10 13:41:14.672,    0.019,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:42025,       2,     716,    1
2018-05-10 13:41:13.754,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:45455,        10.0.2.3,        10.0.2.3:53   ,       2,     126,    1
2018-05-10 13:41:17.998,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:59355,        10.0.2.3,        10.0.2.3:53   ,       2,     150,    1
2018-05-10 13:41:18.000,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:59355,       2,     760,    1
2018-05-10 13:41:16.005,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:46798,       2,     760,    1
2018-05-10 13:41:18.045,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:41466,       2,     760,    1
2018-05-10 13:41:15.424,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:35812,       2,     760,    1
2018-05-10 13:41:15.083,    0.033,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:53388,       2,     760,    1
2018-05-10 13:41:15.423,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:35812,        10.0.2.3,        10.0.2.3:53   ,       2,     150,    1
2018-05-10 13:41:18.104,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:42487,        10.0.2.3,        10.0.2.3:53   ,       1,      75,    1
2018-05-10 13:41:17.001,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:37679,       2,     760,    1
2018-05-10 13:41:17.001,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:37679,        10.0.2.3,        10.0.2.3:53   ,       2,     150,    1
2018-05-10 13:41:16.001,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:46798,        10.0.2.3,        10.0.2.3:53   ,       2,     150,    1
2018-05-10 13:41:18.044,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:41466,        10.0.2.3,        10.0.2.3:53   ,       2,     150,    1
2018-05-10 13:41:15.082,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:53388,        10.0.2.3,        10.0.2.3:53   ,       2,     150,    1
2018-05-10 13:42:08.051,    0.023,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:47014,       2,     613,    1
2018-05-10 13:42:08.011,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:47014,        10.0.2.3,        10.0.2.3:53   ,       2,     124,    1
2018-05-10 13:41:13.332,   61.510,TCP  ,   192.168.1.100,   192.168.1.100:35648,  35.166.234.151,  35.166.234.151:443  ,      17,    1394,    1
2018-05-10 13:41:13.515,   61.327,TCP  ,  35.166.234.151,  35.166.234.151:443  ,   192.168.1.100,   192.168.1.100:35648,      16,    5577,    1
2018-05-10 13:41:06.209,  117.057,TCP  ,    88.221.88.59,    88.221.88.59:80   ,   192.168.1.100,   192.168.1.100:36048,      17,    1452,    1
2018-05-10 13:41:06.184,  117.083,TCP  ,   192.168.1.100,   192.168.1.100:36048,    88.221.88.59,    88.221.88.59:80   ,      18,    1316,    1
2018-05-10 13:42:08.074,   61.710,TCP  ,   192.168.1.100,   192.168.1.100:54866,   54.69.224.218,   54.69.224.218:443  ,      18,    1511,    1
2018-05-10 13:42:08.250,   61.534,TCP  ,   54.69.224.218,   54.69.224.218:443  ,   192.168.1.100,   192.168.1.100:54866,      17,    4601,    1
2018-05-10 13:41:14.809,  116.461,TCP  ,   216.58.201.46,   216.58.201.46:80   ,   192.168.1.100,   192.168.1.100:44960,      18,    2136,    1
2018-05-10 13:41:14.777,  116.494,TCP  ,   192.168.1.100,   192.168.1.100:44960,   216.58.201.46,   216.58.201.46:80   ,      19,    1634,    1
2018-05-10 13:43:23.301,    0.000,UDP  ,  178.79.152.182,  178.79.152.182:123  ,   192.168.1.100,   192.168.1.100:39347,       1,      76,    1
2018-05-10 13:43:23.272,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:39347,  178.79.152.182,  178.79.152.182:123  ,       1,      76,    1
2018-05-10 13:41:13.776,  170.498,TCP  ,   192.168.1.100,   192.168.1.100:42402,   93.184.220.29,   93.184.220.29:80   ,      26,    2353,    1
2018-05-10 13:41:13.803,  170.471,TCP  ,   93.184.220.29,   93.184.220.29:80   ,   192.168.1.100,   192.168.1.100:42402,      25,    3368,    1
